	45° s filtrar		
Frequency (Hz)	Level (dB)

11.139739	39.44
11.301211	39.45
11.465025	39.46
11.631213	39.48
11.799810	39.51
11.970850	39.54
12.144370	39.58
12.320405	39.63
12.498992	39.68
12.680168	39.74
12.863969	39.80
13.050435	39.87
13.239604	39.94
13.431515	40.01
13.626208	40.08
13.823722	40.16
14.024100	40.23
14.227382	40.31
14.433611	40.38
14.642829	40.45
14.855080	40.51
15.070408	40.57
15.288856	40.62
15.510471	40.67
15.735299	40.70
15.963385	40.73
16.194778	40.75
16.429525	40.75
16.667674	40.75
16.909275	40.72
17.154379	40.69
17.403035	40.62
17.655296	40.55
17.911213	40.45
18.170840	40.31
18.434230	40.16
18.701438	39.98
18.972519	39.76
19.247530	39.51
19.526527	39.25
19.809568	38.97
20.096712	38.67
20.388018	38.36
20.683546	38.04
20.983358	37.73
21.287517	37.43
21.596084	37.14
21.909123	36.88
22.226701	36.65
22.548881	36.43
22.875732	36.24
23.207320	36.06
23.543715	35.90
23.884986	35.74
24.231204	35.57
24.582441	35.42
24.938768	35.27
25.300261	35.11
25.666993	34.94
26.039042	34.76
26.416483	34.54
26.799396	34.30
27.187858	34.00
27.581952	33.68
27.981758	33.31
28.387360	32.90
28.798840	32.47
29.216286	32.00
29.639782	31.54
30.069416	31.09
30.505279	30.65
30.947459	30.24
31.396049	29.84
31.851141	29.46
32.312830	29.10
32.781212	28.73
33.256382	28.37
33.738440	28.00
34.227486	27.64
34.723620	27.29
35.226947	26.94
35.737568	26.60
36.255592	26.27
36.781124	25.93
37.314274	25.59
37.855152	25.24
38.403871	24.85
38.960543	24.44
39.525284	24.01
40.098211	23.59
40.679443	23.24
41.269100	23.04
41.867304	23.18
42.474180	23.85
43.089852	25.13
43.714448	26.81
44.348098	28.57
44.990933	30.18
45.643086	31.52
46.304692	32.55
46.975888	33.28
47.656813	33.77
48.347609	34.02
49.048418	34.05
49.759385	33.83
50.480657	33.34
51.212385	32.59
51.954719	31.59
52.707813	30.53
53.471824	30.31
54.246909	32.25
55.033230	35.49
55.830948	38.67
56.640229	41.47
57.461241	43.99
58.294153	46.24
59.139139	48.24
59.996373	49.93
60.866033	51.28
61.748299	52.32
62.643354	53.12
63.551382	53.78
64.472573	54.39
65.407116	54.98
66.355206	55.57
67.317038	56.15
68.292813	56.71
69.282731	57.15
70.286999	57.33
71.305824	57.18
72.339416	56.73
73.387991	56.16
74.451765	55.67
75.530959	55.35
76.625796	55.18
77.736503	55.12
78.863310	55.12
80.006450	55.12
81.166160	55.13
82.342680	55.20
83.536255	55.38
84.747130	55.69
85.975557	56.09
87.221791	56.56
88.486089	57.07
89.768713	57.55
91.069929	57.95
92.390007	58.26
93.729219	58.57
95.087844	58.97
96.466162	59.47
97.864459	60.02
99.283025	60.51
100.722153	60.81
102.182141	60.95
103.663293	61.01
105.165914	61.14
106.690316	61.52
108.236814	62.14
109.805729	62.91
111.397386	63.55
113.012114	63.90
114.650248	63.96
116.312128	63.78
117.998096	63.48
119.708503	63.19
121.443703	63.00
123.204054	62.97
124.989923	63.01
126.801678	62.98
128.639694	62.81
130.504354	62.54
132.396041	62.26
134.315150	62.06
136.262076	61.91
138.237223	61.76
140.241000	61.54
142.273823	61.15
144.336111	60.80
146.428293	60.67
148.550802	60.60
150.704076	60.52
152.888563	60.19
155.104715	59.27
157.352990	58.02
159.633854	56.76
161.947780	56.00
164.295247	56.10
166.676741	56.74
169.092755	57.48
171.543790	57.91
174.030353	58.15
176.552959	58.74
179.112131	59.49
181.708398	59.61
184.342299	58.92
187.014379	57.10
189.725192	54.82
192.475298	54.24
195.265267	54.74
198.095678	55.06
200.967116	55.36
203.880176	55.65
206.835462	56.02
209.833585	56.26
212.875166	56.32
215.960836	55.85
219.091233	55.45
222.267006	55.49
225.488813	55.50
228.757320	56.19
232.073205	56.49
235.437154	55.98
238.849865	54.84
242.312043	53.84
245.824407	52.65
249.387683	51.69
253.002609	51.59
256.669935	51.73
260.390419	51.67
264.164832	51.57
267.993956	51.59
271.878584	50.87
275.819521	49.83
279.817582	48.47
283.873596	46.97
287.988403	47.85
292.162855	48.71
296.397817	50.66
300.694165	52.87
305.052789	53.58
309.474593	53.42
313.960491	53.70
318.511414	55.14
323.128303	55.29
327.812115	54.84
332.563820	55.09
337.384402	54.65
342.274859	54.10
347.236204	53.35
352.269465	54.48
357.375684	54.44
362.555919	54.62
367.811243	54.52
373.142743	53.69
378.551525	53.28
384.038708	52.94
389.605429	52.88
395.252841	52.34
400.982113	49.78
406.794432	47.27
412.691002	46.29
418.673044	46.67
424.741797	50.30
430.898518	53.88
437.144481	53.86
443.480981	52.39
449.909331	51.66
456.430860	52.83
463.046920	53.58
469.758882	52.90
476.568134	50.56
483.476089	49.58
490.484175	50.94
497.593845	51.25
504.806572	50.28
512.123848	50.50
519.547190	50.16
527.078134	50.24
534.718242	47.39
542.469094	47.61
550.332296	50.31
558.309477	50.38
566.402289	51.45
574.612408	51.35
582.941535	49.98
591.391394	49.96
599.963735	47.87
608.660334	47.76
617.482992	48.40
626.433537	47.74
635.513821	48.76
644.725726	48.23
654.071160	48.94
663.552057	51.85
673.170382	54.78
682.928127	56.17
692.827312	56.18
702.869989	54.45
713.058235	52.75
723.394163	54.59
733.879912	55.26
744.517654	53.64
755.309592	51.85
766.257962	51.32
777.365030	50.29
788.633098	50.35
800.064499	51.23
811.661600	52.01
823.426804	52.77
835.362547	50.60
847.471301	50.71
859.755574	49.81
872.217910	46.64
884.860890	45.13
897.687132	44.06
910.699294	46.94
923.900070	48.60
937.292194	50.03
950.878439	48.44
964.661620	46.11
978.644591	47.28
992.830248	46.01
1007.221529	44.61
1021.821414	40.08
1036.632928	45.52
1051.659138	47.93
1066.903156	47.24
1082.368140	50.07
1098.057291	46.04
1113.973860	45.03
1130.121143	46.97
1146.502484	47.09
1163.121276	46.64
1179.980961	45.41
1197.085030	48.86
1214.437027	52.62
1232.040544	52.85
1249.899229	49.92
1268.016778	51.19
1286.396945	51.88
1305.043536	53.27
1323.960414	52.76
1343.151496	50.65
1362.620756	50.36
1382.372227	50.17
1402.410000	49.62
1422.738225	47.65
1443.361112	48.99
1464.282931	50.26
1485.508017	49.77
1507.040765	46.22
1528.885634	46.35
1551.047150	49.79
1573.529901	48.02
1596.338544	49.46
1619.477804	47.35
1642.952471	45.35
1666.767409	45.94
1690.927550	46.70
1715.437896	46.86
1740.303526	46.84
1765.529587	49.01
1791.121306	50.11
1817.083982	48.49
1843.422992	48.13
1870.143792	47.75
1897.251916	46.15
1924.752977	45.57
1952.652672	47.91
1980.956779	47.52
2009.671159	47.33
2038.801761	45.77
2068.354617	48.54
2098.335847	46.17
2128.751662	44.65
2159.608360	44.99
2190.912333	46.59
2222.670063	45.08
2254.888128	42.25
2287.573200	43.05
2320.732050	45.60
2354.371544	43.27
2388.498649	44.74
2423.120434	43.92
2458.244069	42.74
2493.876828	43.31
2530.026092	43.98
2566.699346	43.20
2603.904187	41.70
2641.648320	42.21
2679.939562	42.78
2718.785844	42.61
2758.195211	42.91
2798.175824	41.66
2838.735965	41.10
2879.884033	43.72
2921.628551	41.64
2963.978165	40.92
3006.941645	41.20
3050.527890	38.95
