	75° (sin filtrar)		
Frequency (Hz)	Level (dB)

11.139739	36.78
11.301211	36.84
11.465025	36.91
11.631213	36.99
11.799810	37.08
11.970850	37.19
12.144370	37.31
12.320405	37.44
12.498992	37.58
12.680168	37.72
12.863969	37.88
13.050435	38.05
13.239604	38.22
13.431515	38.39
13.626208	38.57
13.823722	38.76
14.024100	38.94
14.227382	39.11
14.433611	39.30
14.642829	39.47
14.855080	39.64
15.070408	39.81
15.288856	39.97
15.510471	40.13
15.735299	40.28
15.963385	40.43
16.194778	40.57
16.429525	40.70
16.667674	40.83
16.909275	40.95
17.154379	41.06
17.403035	41.16
17.655296	41.25
17.911213	41.34
18.170840	41.41
18.434230	41.47
18.701438	41.53
18.972519	41.57
19.247530	41.60
19.526527	41.63
19.809568	41.64
20.096712	41.64
20.388018	41.63
20.683546	41.60
20.983358	41.56
21.287517	41.51
21.596084	41.45
21.909123	41.37
22.226701	41.29
22.548881	41.18
22.875732	41.07
23.207320	40.94
23.543715	40.81
23.884986	40.66
24.231204	40.50
24.582441	40.34
24.938768	40.19
25.300261	40.03
25.666993	39.89
26.039042	39.77
26.416483	39.68
26.799396	39.64
27.187858	39.63
27.581952	39.66
27.981758	39.72
28.387360	39.81
28.798840	39.91
29.216286	40.01
29.639782	40.10
30.069416	40.19
30.505279	40.25
30.947459	40.30
31.396049	40.32
31.851141	40.30
32.312830	40.24
32.781212	40.14
33.256382	39.99
33.738440	39.81
34.227486	39.60
34.723620	39.39
35.226947	39.19
35.737568	39.02
36.255592	38.89
36.781124	38.78
37.314274	38.67
37.855152	38.54
38.403871	38.37
38.960543	38.12
39.525284	37.80
40.098211	37.40
40.679443	36.90
41.269100	36.30
41.867304	35.60
42.474180	34.82
43.089852	34.02
43.714448	33.35
44.348098	33.02
44.990933	33.13
45.643086	33.59
46.304692	34.17
46.975888	34.72
47.656813	35.16
48.347609	35.45
49.048418	35.56
49.759385	35.45
50.480657	35.07
51.212385	34.42
51.954719	33.53
52.707813	32.54
53.471824	32.11
54.246909	33.43
55.033230	36.23
55.830948	39.23
56.640229	41.98
57.461241	44.51
58.294153	46.80
59.139139	48.85
59.996373	50.56
60.866033	51.91
61.748299	52.92
62.643354	53.69
63.551382	54.31
64.472573	54.90
65.407116	55.49
66.355206	56.08
67.317038	56.68
68.292813	57.24
69.282731	57.69
70.286999	57.88
71.305824	57.76
72.339416	57.34
73.387991	56.78
74.451765	56.21
75.530959	55.73
76.625796	55.39
77.736503	55.23
78.863310	55.20
80.006450	55.21
81.166160	55.27
82.342680	55.44
83.536255	55.77
84.747130	56.21
85.975557	56.73
87.221791	57.23
88.486089	57.67
89.768713	58.00
91.069929	58.26
92.390007	58.47
93.729219	58.68
95.087844	58.97
96.466162	59.37
97.864459	59.88
99.283025	60.36
100.722153	60.68
102.182141	60.84
103.663293	60.92
105.165914	61.04
106.690316	61.34
108.236814	61.82
109.805729	62.42
111.397386	62.96
113.012114	63.28
114.650248	63.35
116.312128	63.19
117.998096	62.92
119.708503	62.69
121.443703	62.58
123.204054	62.57
124.989923	62.56
126.801678	62.51
128.639694	62.44
130.504354	62.40
132.396041	62.32
134.315150	62.16
136.262076	61.97
138.237223	61.78
140.241000	61.51
142.273823	61.05
144.336111	60.59
146.428293	60.31
148.550802	60.10
150.704076	59.97
152.888563	59.67
155.104715	58.79
157.352990	57.65
159.633854	56.35
161.947780	55.19
164.295247	54.98
166.676741	55.68
169.092755	56.58
171.543790	57.23
174.030353	57.71
176.552959	58.35
179.112131	58.86
181.708398	58.61
184.342299	57.74
187.014379	56.04
189.725192	54.32
192.475298	54.07
195.265267	54.01
198.095678	53.62
200.967116	53.51
