	60° s filtrar		
Frequency (Hz)	Level (dB)

12.589254	51.39
15.848932	52.44
19.952623	52.26
25.118864	52.15
31.622777	47.82
39.810717	44.79
50.118723	46.05
63.095734	64.88
79.432823	66.85
100.000000	71.78
125.892541	74.31
158.489319	70.41
199.526231	67.48
251.188643	64.65
316.227766	63.72
398.107171	63.71
501.187234	61.86
630.957344	61.89
794.328235	62.16
1000.000000	57.65
1258.925412	59.91
1584.893192	57.76
1995.262315	56.10
2511.886432	51.86
3162.277660	47.03
3981.071706	41.65
5011.872336	45.82
6309.573445	44.66
7943.282347	39.25
10000.000000	32.94
12589.254118	31.13
15848.931925	25.91
19952.623150	19.16
