Frequency(Hz), Magnitude(ohm), Phase(deg)
20.000, 8.034, 14.404
20.291, 8.050, 14.599
20.585, 8.066, 14.795
20.884, 8.083, 14.992
21.188, 8.100, 15.192
21.495, 8.117, 15.394
21.808, 8.135, 15.598
22.124, 8.154, 15.806
22.446, 8.175, 16.016
22.772, 8.198, 16.229
23.103, 8.220, 16.444
23.438, 8.242, 16.664
23.779, 8.263, 16.892
24.124, 8.284, 17.126
24.474, 8.305, 17.364
24.830, 8.327, 17.603
25.191, 8.352, 17.840
25.557, 8.381, 18.076
25.928, 8.411, 18.313
26.304, 8.439, 18.558
26.686, 8.465, 18.822
27.074, 8.488, 19.100
27.467, 8.512, 19.383
27.866, 8.539, 19.659
28.271, 8.573, 19.923
28.682, 8.610, 20.189
29.098, 8.646, 20.458
29.521, 8.680, 20.731
29.950, 8.711, 21.008
30.385, 8.743, 21.287
30.826, 8.778, 21.567
31.274, 8.823, 21.837
31.728, 8.870, 22.104
32.189, 8.919, 22.369
32.657, 8.969, 22.631
33.131, 9.022, 22.885
33.612, 9.074, 23.150
34.101, 9.126, 23.475
34.596, 9.179, 23.842
35.099, 9.232, 24.195
35.608, 9.288, 24.491
36.126, 9.348, 24.759
36.650, 9.411, 25.059
37.183, 9.483, 25.429
37.723, 9.558, 25.830
38.271, 9.637, 26.168
38.827, 9.718, 26.405
39.391, 9.803, 26.647
39.963, 9.900, 26.982
40.543, 10.004, 27.349
41.132, 10.108, 27.711
41.730, 10.208, 28.069
42.336, 10.311, 28.421
42.951, 10.434, 28.731
43.575, 10.568, 29.023
44.208, 10.709, 29.336
44.850, 10.855, 29.672
45.501, 11.009, 30.003
46.162, 11.176, 30.312
46.833, 11.357, 30.601
47.513, 11.558, 30.852
48.203, 11.774, 31.074
48.903, 12.003, 31.275
49.614, 12.241, 31.441
50.334, 12.486, 31.530
51.066, 12.741, 31.553
51.807, 13.062, 31.529
52.560, 13.420, 31.458
53.323, 13.790, 31.344
54.098, 14.175, 31.159
54.884, 14.582, 30.836
55.681, 15.021, 30.338
56.490, 15.515, 29.599
57.310, 16.043, 28.665
58.143, 16.595, 27.549
58.987, 17.171, 26.210
59.844, 17.764, 24.590
60.713, 18.357, 22.589
61.595, 18.942, 20.292
62.490, 19.468, 17.796
