Frequency(Hz), Magnitude(ohm), Phase(deg)
20.000, 7.973, 14.108
20.291, 7.986, 14.273
20.585, 7.998, 14.446
20.884, 8.012, 14.623
21.188, 8.026, 14.803
21.495, 8.040, 14.988
21.808, 8.055, 15.176
22.124, 8.070, 15.368
22.446, 8.087, 15.565
22.772, 8.104, 15.767
23.103, 8.121, 15.971
23.438, 8.138, 16.175
23.779, 8.155, 16.381
24.124, 8.172, 16.587
24.474, 8.190, 16.793
24.830, 8.207, 16.998
25.191, 8.225, 17.184
25.557, 8.243, 17.354
25.928, 8.260, 17.523
26.304, 8.279, 17.707
26.686, 8.303, 17.912
27.074, 8.331, 18.131
27.467, 8.360, 18.361
27.866, 8.386, 18.604
28.271, 8.408, 18.864
28.682, 8.427, 19.140
29.098, 8.447, 19.414
29.521, 8.477, 19.673
29.950, 8.516, 19.920
30.385, 8.557, 20.161
30.826, 8.593, 20.394
31.274, 8.624, 20.612
31.728, 8.655, 20.820
32.189, 8.685, 21.045
32.657, 8.714, 21.319
33.131, 8.743, 21.622
33.612, 8.773, 21.915
34.101, 8.808, 22.156
34.596, 8.847, 22.363
35.099, 8.888, 22.593
35.608, 8.931, 22.901
36.126, 8.978, 23.260
36.650, 9.023, 23.580
37.183, 9.048, 23.771
37.723, 9.066, 23.924
38.271, 9.103, 24.167
38.827, 9.169, 24.534
39.391, 9.236, 24.904
39.963, 9.285, 25.147
40.543, 9.326, 25.308
41.132, 9.375, 25.547
41.730, 9.432, 25.943
42.336, 9.496, 26.348
42.951, 9.567, 26.611
43.575, 9.645, 26.844
44.208, 9.714, 27.071
44.850, 9.770, 27.289
45.501, 9.834, 27.537
46.162, 9.917, 28.034
46.833, 10.001, 28.527
47.513, 10.079, 28.745
48.203, 10.156, 28.934
48.903, 10.263, 29.235
49.614, 10.387, 29.570
50.334, 10.471, 29.831
51.066, 10.540, 30.056
51.807, 10.630, 30.424
52.560, 10.739, 30.866
53.323, 10.878, 31.161
54.098, 11.031, 31.426
54.884, 11.157, 31.747
55.681, 11.284, 32.077
56.490, 11.445, 32.272
57.310, 11.605, 32.492
58.143, 11.749, 32.773
58.987, 11.910, 33.054
59.844, 12.097, 33.335
60.713, 12.303, 33.511
61.595, 12.516, 33.629
62.490, 12.722, 33.734
63.398, 12.942, 33.822
64.319, 13.191, 33.893
65.253, 13.464, 34.059
66.201, 13.762, 34.162
67.162, 14.080, 34.062
68.138, 14.409, 33.907
69.128, 14.761, 33.754
70.132, 15.141, 33.639
71.151, 15.526, 33.426
72.184, 15.945, 32.978
73.233, 16.422, 32.322
74.296, 16.888, 31.755
75.376, 17.410, 31.017
76.470, 17.978, 29.930
77.581, 18.559, 28.604
78.708, 19.134, 27.287
79.851, 19.694, 25.572
81.011, 20.239, 23.670
82.188, 20.774, 21.764
83.382, 21.290, 19.201
84.593, 21.668, 16.327
85.822, 22.006, 13.491
87.068, 22.213, 10.431
88.333, 22.170, 7.154
89.616, 21.991, 3.904
90.918, 21.723, 0.680
92.239, 21.221, -2.314
93.579, 20.583, -5.283
94.938, 19.846, -7.759
96.317, 19.095, -9.911
97.716, 18.329, -11.694
99.135, 17.445, -13.220
100.575, 16.726, -14.340
102.036, 16.018, -15.002
103.518, 15.288, -15.424
105.022, 14.590, -15.713
106.548, 14.019, -15.615
108.095, 13.490, -15.496
109.665, 13.083, -15.136
111.258, 12.481, -14.426
112.874, 12.235, -14.057
114.514, 11.782, -13.336
116.177, 11.511, -12.348
117.865, 11.285, -10.993
119.577, 11.005, -10.217
121.314, 10.761, -9.045
123.076, 10.616, -8.105
124.864, 10.370, -6.722
126.678, 10.180, -5.990
128.518, 10.056, -4.781
130.385, 9.969, -3.747
132.279, 9.926, -2.953
134.200, 9.794, -1.717
136.149, 9.674, -0.400
138.127, 9.618, 1.064
140.133, 9.547, 2.189
142.169, 9.479, 2.484
144.234, 9.515, 3.872
146.329, 9.483, 5.141
148.455, 9.490, 5.628
150.611, 9.455, 6.600
152.799, 9.415, 7.733
155.018, 9.418, 8.848
157.270, 9.461, 9.310
159.554, 9.460, 10.668
161.872, 9.477, 11.249
164.223, 9.482, 11.991
166.609, 9.483, 13.192
169.029, 9.541, 13.379
171.484, 9.552, 14.137
173.975, 9.618, 15.624
176.502, 9.572, 15.735
179.066, 9.715, 16.527
181.667, 9.788, 16.820
184.306, 9.735, 17.217
186.983, 9.851, 18.370
189.699, 9.817, 19.608
192.455, 9.931, 19.954
195.250, 9.943, 20.232
198.086, 10.042, 20.858
200.964, 9.990, 21.304
203.883, 10.065, 22.399
206.844, 10.231, 22.556
209.849, 10.270, 23.456
212.897, 10.304, 23.666
215.990, 10.337, 24.430
219.127, 10.483, 24.455
222.310, 10.448, 25.128
225.539, 10.533, 26.031
228.815, 10.565, 26.509
