	30° s filtrar		
Frequency (Hz)	Level (dB)

11.139739	37.44
11.301211	37.58
11.465025	37.72
11.631213	37.85
11.799810	37.97
11.970850	38.10
12.144370	38.21
12.320405	38.32
12.498992	38.42
12.680168	38.52
12.863969	38.62
13.050435	38.71
13.239604	38.79
13.431515	38.87
13.626208	38.95
13.823722	39.02
14.024100	39.10
14.227382	39.17
14.433611	39.24
14.642829	39.30
14.855080	39.37
15.070408	39.44
15.288856	39.50
15.510471	39.56
15.735299	39.62
15.963385	39.67
16.194778	39.72
16.429525	39.75
16.667674	39.78
16.909275	39.79
17.154379	39.79
17.403035	39.76
17.655296	39.73
17.911213	39.67
18.170840	39.57
18.434230	39.46
18.701438	39.33
18.972519	39.18
19.247530	38.99
19.526527	38.81
19.809568	38.61
20.096712	38.41
20.388018	38.22
20.683546	38.05
20.983358	37.90
21.287517	37.78
21.596084	37.69
21.909123	37.63
22.226701	37.59
22.548881	37.57
22.875732	37.54
23.207320	37.51
23.543715	37.46
23.884986	37.39
24.231204	37.28
24.582441	37.15
24.938768	36.98
25.300261	36.76
25.666993	36.51
26.039042	36.23
26.416483	35.89
26.799396	35.52
27.187858	35.07
27.581952	34.59
27.981758	34.04
28.387360	33.43
28.798840	32.79
29.216286	32.09
29.639782	31.40
30.069416	30.75
30.505279	30.16
30.947459	29.65
31.396049	29.21
31.851141	28.82
32.312830	28.44
32.781212	28.05
33.256382	27.61
33.738440	27.11
34.227486	26.58
34.723620	26.02
35.226947	25.47
35.737568	24.97
36.255592	24.54
36.781124	24.18
37.314274	23.88
37.855152	23.63
38.403871	23.38
38.960543	23.14
39.525284	22.91
40.098211	22.71
40.679443	22.57
41.269100	22.55
41.867304	22.79
42.474180	23.47
43.089852	24.67
43.714448	26.26
44.348098	27.96
44.990933	29.52
45.643086	30.84
46.304692	31.86
46.975888	32.60
47.656813	33.10
48.347609	33.38
49.048418	33.45
49.759385	33.28
50.480657	32.89
51.212385	32.32
51.954719	31.65
52.707813	31.13
53.471824	31.54
54.246909	33.62
55.033230	36.62
55.830948	39.59
56.640229	42.26
57.461241	44.71
58.294153	46.92
59.139139	48.91
59.996373	50.58
60.866033	51.94
61.748299	52.98
62.643354	53.80
63.551382	54.49
64.472573	55.13
65.407116	55.76
66.355206	56.39
67.317038	57.01
68.292813	57.61
69.282731	58.08
70.286999	58.28
71.305824	58.16
72.339416	57.74
