	60°		
Frequency (Hz)	Level (dB)

11.139739	38.84
11.301211	38.86
11.465025	38.89
11.631213	38.93
11.799810	38.97
11.970850	39.02
12.144370	39.08
12.320405	39.14
12.498992	39.20
12.680168	39.27
12.863969	39.35
13.050435	39.43
13.239604	39.51
13.431515	39.59
13.626208	39.67
13.823722	39.76
14.024100	39.85
14.227382	39.93
14.433611	40.01
14.642829	40.09
14.855080	40.17
15.070408	40.24
15.288856	40.31
15.510471	40.37
15.735299	40.43
15.963385	40.48
16.194778	40.52
16.429525	40.55
16.667674	40.57
16.909275	40.58
17.154379	40.58
17.403035	40.56
17.655296	40.53
17.911213	40.48
18.170840	40.41
18.434230	40.33
18.701438	40.24
18.972519	40.13
19.247530	40.01
19.526527	39.90
19.809568	39.80
20.096712	39.72
20.388018	39.65
20.683546	39.62
20.983358	39.63
21.287517	39.68
21.596084	39.75
21.909123	39.85
22.226701	39.97
22.548881	40.09
22.875732	40.20
23.207320	40.29
23.543715	40.36
23.884986	40.40
24.231204	40.39
24.582441	40.36
24.938768	40.28
25.300261	40.17
25.666993	40.02
26.039042	39.85
26.416483	39.63
26.799396	39.40
27.187858	39.11
27.581952	38.80
27.981758	38.44
28.387360	38.04
28.798840	37.61
29.216286	37.13
29.639782	36.61
30.069416	36.06
30.505279	35.49
30.947459	34.89
31.396049	34.29
31.851141	33.73
32.312830	33.23
32.781212	32.85
33.256382	32.61
33.738440	32.51
34.227486	32.53
34.723620	32.62
35.226947	32.72
35.737568	32.80
36.255592	32.85
36.781124	32.86
37.314274	32.84
37.855152	32.79
38.403871	32.71
38.960543	32.62
39.525284	32.51
40.098211	32.41
40.679443	32.35
41.269100	32.35
41.867304	32.43
42.474180	32.58
43.089852	32.78
43.714448	33.03
44.348098	33.30
44.990933	33.59
45.643086	33.86
46.304692	34.11
46.975888	34.31
47.656813	34.46
48.347609	34.54
49.048418	34.50
49.759385	34.32
50.480657	33.95
51.212385	33.42
51.954719	32.72
52.707813	31.97
53.471824	31.67
54.246909	32.83
55.033230	35.41
55.830948	38.31
56.640229	41.00
57.461241	43.45
58.294153	45.64
59.139139	47.59
59.996373	49.25
60.866033	50.64
61.748299	51.75
62.643354	52.65
63.551382	53.40
64.472573	54.04
65.407116	54.59
66.355206	55.08
67.317038	55.54
68.292813	55.96
69.282731	56.28
70.286999	56.39
71.305824	56.23
72.339416	55.83
73.387991	55.36
74.451765	54.95
75.530959	54.65
76.625796	54.39
77.736503	54.16
78.863310	53.98
80.006450	53.91
81.166160	53.94
82.342680	54.02
83.536255	54.13
84.747130	54.27
85.975557	54.49
87.221791	54.86
88.486089	55.45
89.768713	56.14
91.069929	56.72
92.390007	57.11
93.729219	57.43
95.087844	57.79
96.466162	58.23
97.864459	58.76
99.283025	59.33
100.722153	59.86
102.182141	60.25
103.663293	60.44
105.165914	60.60
106.690316	61.02
108.236814	61.73
109.805729	62.55
111.397386	63.20
113.012114	63.51
114.650248	63.51
116.312128	63.28
117.998096	62.90
119.708503	62.49
121.443703	62.18
123.204054	62.14
124.989923	62.37
126.801678	62.53
128.639694	62.31
130.504354	61.63
132.396041	60.94
134.315150	60.85
136.262076	61.02
138.237223	61.06
140.241000	60.84
142.273823	60.53
144.336111	60.19
146.428293	59.91
148.550802	59.95
150.704076	60.05
152.888563	59.70
155.104715	58.56
157.352990	56.92
159.633854	55.69
161.947780	55.40
164.295247	55.45
166.676741	55.63
169.092755	56.09
171.543790	56.72
174.030353	57.31
176.552959	57.87
179.112131	58.52
181.708398	58.85
184.342299	58.05
187.014379	56.36
189.725192	54.24
192.475298	53.30
195.265267	53.85
198.095678	54.29
200.967116	54.50
203.880176	54.55
206.835462	54.45
209.833585	54.25
212.875166	53.86
215.960836	53.13
219.091233	52.67
222.267006	52.92
225.488813	53.60
228.757320	54.71
232.073205	55.26
235.437154	54.93
238.849865	53.82
242.312043	52.87
245.824407	51.59
249.387683	50.66
253.002609	50.95
256.669935	51.35
260.390419	51.67
264.164832	51.58
267.993956	51.89
271.878584	51.82
275.819521	50.03
279.817582	47.76
283.873596	45.92
287.988403	46.26
292.162855	46.42
296.397817	47.68
300.694165	49.89
305.052789	51.38
309.474593	52.05
313.960491	52.28
318.511414	53.41
323.128303	53.67
327.812115	53.08
332.563820	53.74
337.384402	53.75
342.274859	53.00
347.236204	51.70
352.269465	51.46
357.375684	52.31
362.555919	52.84
367.811243	52.86
373.142743	52.73
378.551525	52.72
384.038708	52.02
389.605429	52.27
395.252841	51.95
400.982113	49.64
406.794432	48.17
412.691002	47.43
418.673044	46.85
424.741797	50.83
430.898518	53.08
437.144481	53.13
443.480981	51.34
449.909331	49.99
456.430860	49.60
463.046920	49.71
469.758882	48.99
476.568134	47.49
483.476089	47.99
490.484175	49.22
497.593845	48.82
504.806572	48.45
512.123848	50.37
519.547190	51.57
527.078134	51.85
534.718242	50.99
542.469094	51.09
550.332296	49.96
558.309477	47.60
566.402289	49.21
574.612408	49.72
582.941535	47.98
591.391394	47.75
599.963735	47.08
608.660334	48.52
617.482992	48.06
626.433537	46.19
635.513821	46.62
644.725726	45.27
654.071160	41.64
663.552057	46.25
673.170382	51.13
682.928127	54.20
692.827312	54.59
702.869989	53.24
713.058235	51.75
723.394163	51.83
733.879912	52.13
744.517654	51.65
755.309592	50.24
766.257962	49.29
777.365030	49.31
788.633098	48.27
800.064499	48.49
811.661600	50.21
823.426804	51.87
835.362547	50.25
847.471301	50.69
859.755574	49.49
872.217910	43.78
884.860890	39.79
897.687132	40.79
910.699294	46.38
923.900070	48.12
937.292194	47.72
950.878439	46.12
964.661620	45.19
978.644591	47.50
992.830248	46.66
1007.221529	45.11
1021.821414	38.74
1036.632928	41.93
1051.659138	44.86
1066.903156	43.73
1082.368140	48.00
1098.057291	44.75
1113.973860	43.81
1130.121143	47.23
1146.502484	47.89
1163.121276	48.01
1179.980961	46.31
1197.085030	46.25
1214.437027	44.58
1232.040544	48.74
1249.899229	46.26
1268.016778	47.27
1286.396945	48.43
1305.043536	50.38
1323.960414	49.75
1343.151496	47.93
1362.620756	47.81
1382.372227	49.17
1402.410000	45.91
1422.738225	44.06
1443.361112	46.80
1464.282931	47.34
1485.508017	48.20
1507.040765	46.29
1528.885634	41.42
1551.047150	44.76
1573.529901	43.20
1596.338544	48.41
1619.477804	48.33
1642.952471	43.56
1666.767409	43.58
1690.927550	43.91
1715.437896	44.14
1740.303526	43.98
1765.529587	45.85
1791.121306	48.54
1817.083982	46.72
1843.422992	44.29
1870.143792	42.93
1897.251916	42.70
1924.752977	42.00
1952.652672	44.02
1980.956779	42.76
2009.671159	42.83
2038.801761	43.50
2068.354617	45.88
2098.335847	42.05
2128.751662	41.36
2159.608360	43.38
2190.912333	42.44
2222.670063	41.17
2254.888128	39.29
2287.573200	39.48
2320.732050	42.15
2354.371544	40.05
2388.498649	41.65
2423.120434	40.69
2458.244069	39.29
2493.876828	40.37
2530.026092	41.57
2566.699346	38.87
2603.904187	34.31
2641.648320	40.18
2679.939562	38.96
2718.785844	37.65
2758.195211	39.79
2798.175824	37.25
2838.735965	34.33
2879.884033	38.50
2921.628551	36.15
2963.978165	35.54
3006.941645	36.69
3050.527890	32.47
3094.745927	37.14
3139.604913	37.18
3185.114139	31.76
3231.283032	35.07
3278.121151	31.70
3325.638200	34.66
3373.844017	30.33
3422.748588	32.53
3472.362041	34.01
3522.694651	32.01
3573.756843	32.93
3625.559192	29.22
3678.112427	33.17
3731.427432	31.36
3785.515249	30.08
3840.387080	31.51
3896.054290	22.42
3952.528408	24.16
4009.821129	21.16
4067.944321	27.77
4126.910020	22.44
4186.730440	24.81
4247.417969	29.58
4308.985176	29.41
4371.444813	28.46
4434.809815	32.61
4499.093306	29.24
4564.308599	33.98
4630.469202	32.55
4697.588817	35.39
4765.681344	33.31
4834.760887	34.16
4904.841752	34.87
4975.938453	29.81
5048.065717	32.65
5121.238480	30.87
5195.471897	31.44
5270.781343	34.55
5347.182415	34.92
5424.690937	33.33
5503.322961	36.56
5583.094772	35.75
5664.022893	34.40
5746.124083	35.91
5829.415347	35.12
5913.913936	34.01
5999.637349	32.79
6086.603340	34.34
6174.829922	32.88
6264.335367	32.90
6355.138211	31.30
6447.257262	31.58
6540.711597	31.18
6635.520573	30.76
6731.703824	29.60
6829.281272	28.34
6928.273125	28.64
7028.699885	28.23
7130.582353	27.30
7233.941627	27.94
7338.799116	27.81
7445.176537	25.87
7553.095920	24.36
7662.579617	22.10
7773.650302	23.44
7886.330981	25.37
8000.644989	28.25
8116.616003	28.92
8234.268041	30.19
8353.625470	29.41
8474.713009	27.53
8597.555737	27.32
8722.179097	26.74
8848.608897	24.92
8976.871324	23.26
9106.992942	22.85
9239.000700	22.55
9372.921937	23.08
9508.784391	23.41
9646.616199	21.12
9786.445908	17.63
9928.302478	15.71
10072.215288	14.16
10218.214144	19.94
10366.329284	21.82
10516.591384	19.78
10669.031565	19.77
10823.681397	19.05
10980.572911	18.48
11139.738600	20.68
11301.211429	20.73
11465.024840	20.43
11631.212760	20.18
11799.809609	18.79
11970.850305	18.81
12144.370271	19.55
12320.405445	19.47
12498.992285	19.77
12680.167779	21.85
12863.969449	21.09
13050.435363	19.05
13239.604139	16.92
13431.514956	16.05
13626.207560	15.22
13823.722274	14.09
14024.100004	14.30
14227.382252	12.51
14433.611118	13.13
14642.829314	13.94
14855.080172	16.00
15070.407650	17.14
15288.856344	10.58
15510.471498	13.41
15735.299010	17.54
15963.385443	15.72
16194.778036	13.29
16429.524714	12.05
16667.674093	11.89
16909.275497	13.27
17154.378963	11.53
17403.035256	10.06
17655.295873	9.59
17911.213060	8.77
18170.839820	9.38
18434.229924	7.96
18701.437922	7.84
18972.519156	8.74
19247.529769	7.73
19526.526718	8.06
19809.567786	7.68
20096.711592	5.90
20388.017608	6.01
20683.546166	5.28
20983.358471	4.15
21287.516618	5.17
21596.083601	6.10
21909.123326	5.55
22226.700627	5.29
