	90° (sin filtrar)		
Frequency (Hz)	Level (dB)

11.139739	34.26
11.301211	34.34
11.465025	34.43
11.631213	34.52
11.799810	34.62
11.970850	34.74
12.144370	34.85
12.320405	34.97
12.498992	35.10
12.680168	35.24
12.863969	35.38
13.050435	35.54
13.239604	35.69
13.431515	35.85
13.626208	36.01
13.823722	36.19
14.024100	36.36
14.227382	36.54
14.433611	36.73
14.642829	36.92
14.855080	37.10
15.070408	37.30
15.288856	37.48
15.510471	37.67
15.735299	37.84
15.963385	38.02
16.194778	38.17
16.429525	38.31
16.667674	38.43
16.909275	38.53
17.154379	38.59
17.403035	38.63
17.655296	38.63
17.911213	38.60
18.170840	38.51
18.434230	38.39
18.701438	38.24
18.972519	38.03
19.247530	37.78
19.526527	37.50
19.809568	37.20
20.096712	36.88
20.388018	36.56
20.683546	36.24
20.983358	35.96
21.287517	35.72
21.596084	35.54
21.909123	35.41
22.226701	35.35
22.548881	35.34
22.875732	35.36
23.207320	35.42
23.543715	35.50
23.884986	35.59
24.231204	35.69
24.582441	35.79
24.938768	35.90
25.300261	36.02
25.666993	36.14
26.039042	36.26
26.416483	36.38
26.799396	36.50
27.187858	36.62
27.581952	36.71
27.981758	36.79
28.387360	36.83
28.798840	36.81
29.216286	36.74
29.639782	36.59
30.069416	36.35
30.505279	36.02
30.947459	35.59
31.396049	35.06
31.851141	34.42
32.312830	33.70
32.781212	32.89
33.256382	31.99
33.738440	31.00
34.227486	29.93
34.723620	28.78
35.226947	27.58
35.737568	26.43
36.255592	25.51
36.781124	24.90
37.314274	24.65
37.855152	24.60
38.403871	24.62
38.960543	24.59
39.525284	24.49
40.098211	24.32
40.679443	24.10
41.269100	23.89
41.867304	23.85
42.474180	24.24
43.089852	25.31
43.714448	26.95
44.348098	28.77
44.990933	30.47
45.643086	31.92
46.304692	33.08
46.975888	33.96
47.656813	34.62
48.347609	35.06
49.048418	35.26
49.759385	35.20
50.480657	34.84
51.212385	34.17
51.954719	33.20
52.707813	32.08
53.471824	31.55
54.246909	32.93
55.033230	35.83
55.830948	38.90
56.640229	41.69
57.461241	44.25
58.294153	46.56
59.139139	48.63
59.996373	50.38
60.866033	51.81
61.748299	52.95
62.643354	53.87
63.551382	54.67
64.472573	55.39
65.407116	56.07
66.355206	56.69
67.317038	57.21
68.292813	57.63
69.282731	57.92
70.286999	58.08
71.305824	58.10
72.339416	57.98
73.387991	57.73
74.451765	57.35
75.530959	56.91
76.625796	56.46
77.736503	56.06
78.863310	55.71
80.006450	55.35
81.166160	55.07
82.342680	55.07
83.536255	55.42
84.747130	55.91
85.975557	56.30
87.221791	56.57
88.486089	56.71
89.768713	56.78
91.069929	56.85
92.390007	56.98
93.729219	57.27
95.087844	57.75
96.466162	58.36
97.864459	59.01
99.283025	59.58
100.722153	59.98
102.182141	60.33
103.663293	60.76
105.165914	61.21
106.690316	61.51
108.236814	61.74
109.805729	62.08
111.397386	62.60
113.012114	63.23
114.650248	63.77
116.312128	64.06
117.998096	64.04
119.708503	63.73
121.443703	63.32
123.204054	62.81
124.989923	62.12
126.801678	61.48
128.639694	61.22
130.504354	61.35
132.396041	61.45
134.315150	61.16
136.262076	60.59
138.237223	59.99
140.241000	59.56
142.273823	59.24
144.336111	58.81
146.428293	58.24
148.550802	57.88
150.704076	57.80
152.888563	57.61
155.104715	57.02
157.352990	56.39
159.633854	55.64
161.947780	54.97
164.295247	55.01
166.676741	55.42
169.092755	55.62
171.543790	55.86
174.030353	56.43
176.552959	57.32
179.112131	57.93
181.708398	57.59
184.342299	56.71
187.014379	55.64
189.725192	55.10
192.475298	55.07
195.265267	54.46
198.095678	53.43
200.967116	53.08
203.880176	53.03
206.835462	52.77
209.833585	52.49
212.875166	52.33
215.960836	52.16
219.091233	52.53
222.267006	52.93
225.488813	53.71
228.757320	54.38
232.073205	54.99
235.437154	54.97
238.849865	54.21
242.312043	53.32
245.824407	53.05
249.387683	53.27
253.002609	52.71
256.669935	52.69
260.390419	52.67
264.164832	52.27
267.993956	51.78
271.878584	50.11
275.819521	47.75
279.817582	46.71
283.873596	46.81
287.988403	46.88
292.162855	45.67
296.397817	44.64
300.694165	46.10
305.052789	48.08
309.474593	49.14
313.960491	50.90
318.511414	51.54
323.128303	51.99
327.812115	51.63
332.563820	49.97
337.384402	50.01
342.274859	51.74
347.236204	53.08
352.269465	52.19
357.375684	51.70
362.555919	52.45
367.811243	53.37
373.142743	53.16
378.551525	53.11
384.038708	52.32
389.605429	52.20
395.252841	52.78
400.982113	52.44
406.794432	50.76
412.691002	47.41
418.673044	44.30
424.741797	48.48
430.898518	51.18
437.144481	50.64
443.480981	49.33
449.909331	50.14
456.430860	50.38
463.046920	50.28
469.758882	49.47
476.568134	49.15
483.476089	49.27
490.484175	49.18
497.593845	49.08
504.806572	49.29
512.123848	50.20
519.547190	50.43
527.078134	50.25
534.718242	47.63
542.469094	45.07
550.332296	46.72
558.309477	46.26
566.402289	48.87
574.612408	50.92
582.941535	51.19
591.391394	50.26
599.963735	47.93
608.660334	46.26
617.482992	46.48
626.433537	46.19
635.513821	46.86
644.725726	47.14
654.071160	42.76
663.552057	43.80
673.170382	47.23
682.928127	52.27
692.827312	52.48
702.869989	52.31
713.058235	50.37
723.394163	45.88
733.879912	48.56
744.517654	51.30
755.309592	51.92
766.257962	50.54
777.365030	46.13
788.633098	43.29
800.064499	46.77
811.661600	48.64
823.426804	49.74
835.362547	47.87
847.471301	47.88
859.755574	46.04
872.217910	44.29
884.860890	41.57
897.687132	38.97
910.699294	43.77
923.900070	47.13
937.292194	46.79
950.878439	45.01
964.661620	44.38
978.644591	46.48
992.830248	42.42
1007.221529	40.29
1021.821414	34.91
1036.632928	43.78
1051.659138	45.38
1066.903156	43.30
1082.368140	46.15
1098.057291	43.59
1113.973860	43.47
1130.121143	43.93
1146.502484	45.49
1163.121276	47.59
1179.980961	47.42
1197.085030	49.09
1214.437027	47.58
1232.040544	38.63
1249.899229	43.32
1268.016778	47.51
1286.396945	48.74
1305.043536	49.38
1323.960414	49.45
1343.151496	46.13
1362.620756	39.86
1382.372227	44.88
1402.410000	44.95
1422.738225	41.99
1443.361112	45.49
1464.282931	45.86
1485.508017	47.21
1507.040765	48.19
1528.885634	41.76
1551.047150	41.96
1573.529901	34.62
1596.338544	44.64
1619.477804	45.12
1642.952471	40.57
1666.767409	41.12
1690.927550	39.03
1715.437896	42.95
1740.303526	42.82
1765.529587	43.89
1791.121306	44.38
1817.083982	40.64
1843.422992	42.96
1870.143792	40.64
1897.251916	40.24
1924.752977	37.80
1952.652672	42.30
1980.956779	40.70
2009.671159	40.24
2038.801761	39.82
2068.354617	41.29
2098.335847	42.13
2128.751662	40.01
2159.608360	40.03
2190.912333	38.95
2222.670063	39.39
2254.888128	36.04
2287.573200	35.79
2320.732050	38.52
2354.371544	36.50
2388.498649	33.80
2423.120434	36.05
2458.244069	34.45
2493.876828	32.52
2530.026092	36.60
2566.699346	35.72
2603.904187	31.89
2641.648320	33.26
2679.939562	34.64
2718.785844	28.55
2758.195211	37.97
2798.175824	36.04
2838.735965	30.24
2879.884033	33.85
2921.628551	33.58
2963.978165	33.45
3006.941645	32.48
3050.527890	29.32
3094.745927	34.38
3139.604913	33.45
3185.114139	28.74
3231.283032	34.55
3278.121151	27.16
3325.638200	29.13
3373.844017	29.01
3422.748588	25.54
3472.362041	29.23
3522.694651	29.59
3573.756843	28.66
3625.559192	25.49
3678.112427	29.40
3731.427432	30.19
3785.515249	26.73
3840.387080	28.34
3896.054290	23.04
3952.528408	18.89
4009.821129	24.75
4067.944321	28.40
4126.910020	26.89
4186.730440	22.00
4247.417969	32.79
4308.985176	27.31
4371.444813	30.94
4434.809815	31.11
4499.093306	29.05
4564.308599	33.17
4630.469202	30.97
4697.588817	34.40
4765.681344	31.05
4834.760887	34.38
4904.841752	31.78
4975.938453	30.91
5048.065717	31.41
5121.238480	29.07
5195.471897	30.69
5270.781343	33.68
5347.182415	32.75
5424.690937	31.17
5503.322961	35.81
5583.094772	33.99
5664.022893	33.93
5746.124083	35.13
5829.415347	32.64
5913.913936	32.63
5999.637349	32.37
6086.603340	33.06
6174.829922	30.21
6264.335367	29.30
6355.138211	30.22
6447.257262	29.69
6540.711597	29.21
6635.520573	27.97
6731.703824	24.91
6829.281272	24.16
6928.273125	26.84
7028.699885	26.71
7130.582353	25.03
7233.941627	26.03
7338.799116	25.09
7445.176537	23.72
7553.095920	22.45
7662.579617	24.14
7773.650302	25.62
7886.330981	26.05
8000.644989	27.26
8116.616003	27.53
8234.268041	27.29
8353.625470	26.64
8474.713009	23.38
8597.555737	23.08
8722.179097	23.60
8848.608897	21.49
8976.871324	19.43
9106.992942	17.49
9239.000700	18.88
9372.921937	22.03
9508.784391	21.86
9646.616199	20.11
9786.445908	20.18
9928.302478	20.13
10072.215288	15.45
10218.214144	14.89
10366.329284	18.03
10516.591384	17.39
10669.031565	14.42
10823.681397	17.63
10980.572911	16.09
11139.738600	16.35
11301.211429	16.47
11465.024840	15.31
11631.212760	16.80
11799.809609	15.46
11970.850305	14.20
12144.370271	12.86
12320.405445	12.59
12498.992285	12.74
12680.167779	11.74
12863.969449	12.68
13050.435363	11.89
13239.604139	11.86
13431.514956	10.69
13626.207560	11.58
13823.722274	8.73
14024.100004	8.41
14227.382252	7.37
14433.611118	8.47
14642.829314	10.10
14855.080172	9.44
15070.407650	9.26
15288.856344	11.69
15510.471498	6.88
15735.299010	7.99
15963.385443	7.57
16194.778036	4.39
16429.524714	5.12
16667.674093	4.22
16909.275497	5.41
17154.378963	5.92
17403.035256	2.90
17655.295873	2.81
17911.213060	2.93
18170.839820	1.80
18434.229924	2.03
18701.437922	1.80
18972.519156	3.20
19247.529769	0.80
19526.526718	-0.15
19809.567786	0.58
20096.711592	-0.63
20388.017608	-1.07
20683.546166	-0.73
20983.358471	-0.76
21287.516618	-0.48
21596.083601	0.11
21909.123326	0.46
22226.700627	0.70
