	fs a 10 fs_2		
Frequency (Hz)	Level (dB)

11.139739	31.26
11.301211	31.48
11.465025	31.71
11.631213	31.95
11.799810	32.20
11.970850	32.45
12.144370	32.69
12.320405	32.94
12.498992	33.19
12.680168	33.44
12.863969	33.70
13.050435	33.97
13.239604	34.22
13.431515	34.47
13.626208	34.72
13.823722	35.00
14.024100	35.24
14.227382	35.49
14.433611	35.75
14.642829	36.00
14.855080	36.23
15.070408	36.49
15.288856	36.71
15.510471	36.95
15.735299	37.16
15.963385	37.36
16.194778	37.54
16.429525	37.70
16.667674	37.84
16.909275	37.95
17.154379	38.02
17.403035	38.06
17.655296	38.06
17.911213	38.03
18.170840	37.93
18.434230	37.79
18.701438	37.61
18.972519	37.38
19.247530	37.08
19.526527	36.76
19.809568	36.39
20.096712	36.00
20.388018	35.60
20.683546	35.19
20.983358	34.81
21.287517	34.47
21.596084	34.19
21.909123	33.97
22.226701	33.81
22.548881	33.71
22.875732	33.65
23.207320	33.61
23.543715	33.58
23.884986	33.55
24.231204	33.50
24.582441	33.44
24.938768	33.37
25.300261	33.25
25.666993	33.12
26.039042	32.94
26.416483	32.71
26.799396	32.45
27.187858	32.10
27.581952	31.70
27.981758	31.21
28.387360	30.66
28.798840	30.07
29.216286	29.42
29.639782	28.76
30.069416	28.14
30.505279	27.56
30.947459	27.05
31.396049	26.61
31.851141	26.23
32.312830	25.88
32.781212	25.54
33.256382	25.20
33.738440	24.84
34.227486	24.47
34.723620	24.08
35.226947	23.66
35.737568	23.22
36.255592	22.74
36.781124	22.21
37.314274	21.65
37.855152	21.06
38.403871	20.46
38.960543	19.86
39.525284	19.33
40.098211	18.87
40.679443	18.51
41.269100	18.37
41.867304	18.74
42.474180	19.99
43.089852	22.03
43.714448	24.36
44.348098	26.55
44.990933	28.42
45.643086	29.92
46.304692	31.05
46.975888	31.86
47.656813	32.39
48.347609	32.68
49.048418	32.72
49.759385	32.49
50.480657	31.92
51.212385	30.96
51.954719	29.56
52.707813	27.73
53.471824	25.70
54.246909	23.96
55.033230	23.05
55.830948	22.91
56.640229	23.17
57.461241	23.58
58.294153	24.03
59.139139	24.47
59.996373	24.91
60.866033	25.42
61.748299	26.08
62.643354	26.88
63.551382	27.74
64.472573	28.60
65.407116	29.43
66.355206	30.15
67.317038	30.75
68.292813	31.23
69.282731	31.60
70.286999	31.90
71.305824	32.16
72.339416	32.34
73.387991	32.36
74.451765	32.26
75.530959	31.98
76.625796	31.66
77.736503	31.66
78.863310	31.44
80.006450	33.36
81.166160	38.65
82.342680	43.65
83.536255	48.60
84.747130	53.26
85.975557	56.95
87.221791	59.58
88.486089	61.40
89.768713	62.67
91.069929	63.51
92.390007	64.04
93.729219	64.43
95.087844	64.80
96.466162	65.24
97.864459	65.77
99.283025	66.31
100.722153	66.79
102.182141	67.17
103.663293	67.44
105.165914	67.68
106.690316	67.99
108.236814	68.35
109.805729	68.72
111.397386	69.05
113.012114	69.32
114.650248	69.53
116.312128	69.65
117.998096	69.56
119.708503	69.30
121.443703	69.06
123.204054	68.87
124.989923	68.64
126.801678	68.41
