	fs a 10fs		
Frequency (Hz)	Level (dB)

11.139739	43.67
11.301211	43.95
11.465025	44.22
11.631213	44.48
11.799810	44.74
11.970850	44.98
12.144370	45.21
12.320405	45.42
12.498992	45.63
12.680168	45.82
12.863969	46.00
13.050435	46.18
13.239604	46.34
13.431515	46.48
13.626208	46.60
13.823722	46.72
14.024100	46.80
14.227382	46.87
14.433611	46.92
14.642829	46.94
14.855080	46.95
15.070408	46.91
15.288856	46.86
15.510471	46.76
15.735299	46.65
15.963385	46.50
16.194778	46.32
16.429525	46.10
16.667674	45.87
16.909275	45.58
17.154379	45.30
17.403035	44.95
17.655296	44.61
17.911213	44.25
18.170840	43.83
18.434230	43.44
18.701438	43.03
18.972519	42.61
19.247530	42.18
19.526527	41.77
19.809568	41.38
20.096712	41.01
20.388018	40.67
20.683546	40.40
20.983358	40.19
21.287517	40.06
21.596084	40.01
21.909123	40.05
22.226701	40.15
22.548881	40.30
22.875732	40.47
23.207320	40.66
23.543715	40.83
23.884986	41.00
24.231204	41.14
24.582441	41.25
24.938768	41.33
25.300261	41.37
25.666993	41.37
26.039042	41.32
26.416483	41.21
26.799396	41.04
27.187858	40.79
27.581952	40.48
27.981758	40.07
28.387360	39.59
28.798840	39.05
29.216286	38.42
29.639782	37.75
30.069416	37.05
30.505279	36.33
30.947459	35.59
31.396049	34.84
31.851141	34.07
32.312830	33.30
32.781212	32.54
33.256382	31.80
33.738440	31.11
34.227486	30.51
34.723620	30.03
35.226947	29.67
35.737568	29.45
36.255592	29.34
36.781124	29.32
37.314274	29.34
37.855152	29.35
38.403871	29.32
38.960543	29.21
39.525284	29.02
40.098211	28.74
40.679443	28.39
41.269100	28.00
41.867304	27.58
42.474180	27.25
43.089852	27.17
43.714448	27.50
44.348098	28.25
44.990933	29.23
45.643086	30.22
46.304692	31.08
46.975888	31.73
47.656813	32.18
48.347609	32.42
49.048418	32.45
49.759385	32.24
50.480657	31.71
51.212385	30.84
51.954719	29.60
52.707813	28.07
53.471824	26.47
54.246909	25.23
55.033230	24.69
55.830948	24.78
56.640229	25.25
57.461241	25.95
58.294153	26.75
59.139139	27.58
59.996373	28.34
60.866033	28.97
61.748299	29.41
62.643354	29.70
63.551382	29.89
64.472573	30.08
65.407116	30.33
66.355206	30.60
67.317038	30.83
68.292813	30.99
69.282731	31.06
70.286999	31.03
71.305824	30.93
72.339416	30.76
73.387991	30.51
74.451765	30.29
75.530959	30.01
76.625796	29.79
77.736503	30.07
78.863310	30.04
80.006450	32.66
81.166160	38.65
82.342680	43.83
83.536255	48.61
84.747130	53.01
85.975557	56.55
87.221791	59.15
88.486089	61.02
89.768713	62.35
91.069929	63.22
92.390007	63.75
93.729219	64.07
95.087844	64.31
96.466162	64.53
97.864459	64.78
99.283025	65.11
100.722153	65.57
102.182141	66.15
103.663293	66.80
105.165914	67.37
106.690316	67.76
108.236814	68.05
109.805729	68.38
111.397386	68.68
113.012114	68.87
114.650248	68.96
116.312128	69.02
117.998096	69.10
119.708503	69.09
121.443703	68.79
123.204054	68.31
124.989923	68.00
126.801678	68.00
128.639694	68.26
130.504354	68.62
132.396041	68.98
134.315150	69.27
136.262076	69.37
138.237223	69.13
140.241000	68.42
142.273823	67.42
144.336111	66.44
146.428293	65.68
148.550802	64.91
150.704076	64.23
152.888563	63.63
155.104715	62.78
157.352990	61.88
159.633854	61.21
161.947780	61.00
164.295247	61.26
166.676741	61.80
169.092755	62.45
171.543790	63.32
174.030353	64.25
176.552959	64.81
179.112131	64.86
181.708398	64.50
184.342299	63.36
187.014379	61.10
189.725192	58.18
192.475298	55.89
195.265267	56.40
198.095678	59.07
200.967116	61.62
203.880176	63.12
206.835462	63.01
209.833585	61.99
212.875166	61.66
215.960836	61.56
219.091233	61.29
222.267006	61.64
225.488813	62.21
228.757320	62.65
232.073205	62.85
235.437154	62.30
238.849865	61.34
242.312043	60.36
245.824407	59.41
249.387683	58.73
253.002609	58.86
256.669935	59.32
260.390419	59.42
264.164832	60.15
267.993956	60.79
271.878584	60.50
275.819521	58.73
279.817582	57.38
283.873596	57.16
287.988403	56.83
292.162855	57.31
296.397817	59.19
300.694165	59.76
305.052789	59.55
309.474593	59.24
313.960491	59.36
318.511414	59.16
323.128303	58.69
327.812115	57.83
332.563820	57.55
337.384402	57.65
342.274859	58.10
347.236204	59.17
352.269465	60.56
357.375684	60.82
362.555919	60.53
367.811243	60.34
373.142743	59.52
378.551525	59.01
384.038708	59.01
389.605429	59.20
395.252841	59.19
400.982113	58.10
406.794432	57.53
412.691002	56.89
418.673044	55.59
424.741797	56.03
430.898518	58.24
437.144481	58.48
443.480981	57.55
449.909331	57.34
456.430860	58.45
463.046920	57.72
469.758882	56.13
476.568134	54.69
483.476089	55.71
490.484175	57.08
497.593845	56.85
504.806572	57.07
512.123848	57.79
519.547190	57.61
527.078134	57.95
534.718242	57.82
542.469094	58.21
550.332296	59.10
558.309477	58.18
566.402289	58.67
574.612408	58.58
582.941535	58.67
591.391394	57.61
599.963735	56.57
608.660334	57.09
617.482992	56.99
626.433537	55.30
635.513821	53.23
644.725726	54.62
654.071160	58.90
663.552057	61.42
673.170382	62.55
682.928127	65.01
692.827312	64.70
702.869989	63.53
713.058235	61.04
723.394163	61.02
733.879912	62.18
744.517654	60.60
755.309592	60.13
766.257962	61.56
777.365030	60.87
788.633098	58.20
800.064499	57.35
811.661600	57.70
823.426804	59.11
835.362547	59.43
847.471301	60.20
859.755574	58.28
872.217910	55.61
884.860890	40.26
897.687132	25.77
910.699294	27.18
923.900070	26.88
937.292194	26.67
950.878439	26.22
964.661620	25.94
978.644591	26.95
992.830248	26.11
1007.221529	24.31
1021.821414	22.72
1036.632928	24.74
1051.659138	23.21
1066.903156	23.39
1082.368140	26.81
1098.057291	24.42
1113.973860	21.29
1130.121143	22.26
1146.502484	20.40
1163.121276	17.61
1179.980961	22.79
1197.085030	29.75
1214.437027	32.64
1232.040544	30.11
1249.899229	25.18
1268.016778	25.24
1286.396945	25.73
1305.043536	26.59
1323.960414	27.86
1343.151496	27.04
1362.620756	25.32
1382.372227	23.50
1402.410000	21.22
1422.738225	22.43
1443.361112	22.60
1464.282931	22.19
1485.508017	20.32
1507.040765	22.23
1528.885634	24.11
1551.047150	24.87
1573.529901	23.57
1596.338544	22.14
1619.477804	22.92
1642.952471	20.99
1666.767409	22.15
1690.927550	21.81
1715.437896	21.55
1740.303526	22.26
1765.529587	21.89
1791.121306	21.21
1817.083982	19.91
1843.422992	19.64
1870.143792	19.57
1897.251916	18.94
1924.752977	18.26
1952.652672	19.46
1980.956779	17.81
2009.671159	17.07
2038.801761	16.33
2068.354617	17.77
2098.335847	15.68
2128.751662	14.18
