	30° s filtrar		
Frequency (Hz)	Level (dB)

12.589254	50.30
15.848932	51.66
19.952623	51.11
25.118864	49.06
31.622777	42.92
39.810717	36.22
50.118723	45.05
63.095734	66.30
79.432823	68.92
100.000000	72.78
125.892541	75.14
158.489319	71.65
199.526231	68.84
251.188643	66.30
316.227766	65.59
398.107171	65.26
501.187234	63.21
630.957344	66.23
794.328235	65.08
1000.000000	60.32
1258.925412	65.32
1584.893192	61.75
1995.262315	61.38
2511.886432	57.52
3162.277660	55.28
3981.071706	51.42
5011.872336	46.28
6309.573445	41.83
7943.282347	43.20
10000.000000	38.86
12589.254118	36.51
15848.931925	26.60
19952.623150	25.04
