	90° (sin filtrar)		
Frequency (Hz)	Level (dB)

12.589254	47.14
15.848932	49.63
19.952623	49.77
25.118864	48.03
31.622777	47.26
39.810717	37.47
50.118723	45.96
63.095734	66.36
79.432823	68.67
100.000000	71.87
125.892541	74.46
158.489319	69.15
199.526231	66.78
251.188643	64.99
316.227766	62.11
398.107171	63.56
501.187234	61.23
630.957344	61.25
794.328235	60.47
1000.000000	56.35
1258.925412	58.80
1584.893192	56.01
1995.262315	53.07
2511.886432	47.51
3162.277660	43.69
3981.071706	40.43
5011.872336	44.60
6309.573445	43.03
7943.282347	37.30
10000.000000	30.78
12589.254118	25.43
15848.931925	19.61
19952.623150	12.91
