	fs a 10fs		
Frequency (Hz)	Level (dB)

12.589254	57.19
15.848932	58.77
19.952623	54.83
25.118864	53.04
31.622777	48.76
39.810717	40.91
50.118723	42.43
63.095734	41.37
79.432823	63.35
100.000000	77.98
125.892541	80.85
158.489319	76.18
199.526231	73.96
251.188643	72.69
316.227766	70.71
398.107171	70.82
501.187234	69.52
630.957344	72.39
794.328235	71.68
1000.000000	37.52
1258.925412	38.83
1584.893192	34.56
1995.262315	30.10
2511.886432	24.22
3162.277660	22.82
3981.071706	21.01
5011.872336	19.58
6309.573445	19.76
7943.282347	16.16
10000.000000	14.58
12589.254118	13.35
15848.931925	11.98
19952.623150	10.87
