	sin filtrar		
Frequency (Hz)	Level (dB)

12.589254	55.54
15.848932	56.27
19.952623	54.03
25.118864	50.38
31.622777	46.52
39.810717	41.63
50.118723	48.88
63.095734	71.52
79.432823	73.67
100.000000	77.40
125.892541	80.13
158.489319	76.88
199.526231	73.67
251.188643	72.06
316.227766	71.67
398.107171	71.06
501.187234	68.95
630.957344	73.13
794.328235	72.08
1000.000000	67.71
1258.925412	72.22
1584.893192	70.34
1995.262315	68.39
2511.886432	65.43
3162.277660	65.58
3981.071706	66.82
5011.872336	67.89
6309.573445	64.47
7943.282347	60.62
10000.000000	58.54
12589.254118	52.74
15848.931925	32.41
19952.623150	27.53
