	sin filtrar (2,83 ish)		
Frequency (Hz)	Level (dB)

11.139739	33.40
11.301211	33.55
11.465025	33.71
11.631213	33.87
11.799810	34.04
11.970850	34.22
12.144370	34.39
12.320405	34.57
12.498992	34.74
12.680168	34.92
12.863969	35.11
13.050435	35.31
13.239604	35.49
13.431515	35.68
13.626208	35.87
13.823722	36.08
14.024100	36.28
14.227382	36.47
14.433611	36.69
14.642829	36.89
14.855080	37.09
15.070408	37.31
15.288856	37.50
15.510471	37.70
15.735299	37.88
15.963385	38.06
16.194778	38.23
16.429525	38.38
16.667674	38.50
16.909275	38.60
17.154379	38.67
17.403035	38.71
17.655296	38.71
17.911213	38.68
18.170840	38.58
18.434230	38.46
18.701438	38.30
18.972519	38.08
19.247530	37.81
19.526527	37.52
19.809568	37.20
20.096712	36.85
20.388018	36.49
20.683546	36.14
20.983358	35.81
21.287517	35.52
21.596084	35.28
21.909123	35.10
22.226701	34.98
22.548881	34.90
22.875732	34.86
23.207320	34.84
23.543715	34.84
23.884986	34.85
24.231204	34.85
24.582441	34.84
24.938768	34.81
25.300261	34.76
25.666993	34.68
26.039042	34.56
26.416483	34.36
26.799396	34.12
27.187858	33.77
27.581952	33.36
27.981758	32.84
28.387360	32.22
28.798840	31.53
29.216286	30.74
29.639782	29.92
30.069416	29.11
30.505279	28.32
30.947459	27.61
31.396049	26.97
31.851141	26.42
32.312830	25.92
32.781212	25.45
33.256382	25.00
33.738440	24.58
34.227486	24.19
34.723620	23.84
35.226947	23.55
35.737568	23.32
36.255592	23.15
36.781124	23.01
37.314274	22.90
37.855152	22.79
38.403871	22.66
38.960543	22.50
39.525284	22.32
40.098211	22.12
40.679443	21.93
41.269100	21.82
41.867304	21.90
42.474180	22.38
43.089852	23.41
43.714448	24.89
44.348098	26.54
44.990933	28.09
45.643086	29.42
46.304692	30.46
46.975888	31.23
47.656813	31.76
48.347609	32.08
49.048418	32.18
49.759385	32.05
50.480657	31.69
51.212385	31.14
51.954719	30.44
52.707813	29.79
53.471824	30.13
54.246909	32.52
55.033230	35.92
55.830948	39.15
56.640229	41.96
57.461241	44.48
58.294153	46.72
59.139139	48.71
59.996373	50.42
60.866033	51.85
61.748299	53.03
62.643354	54.01
63.551382	54.85
64.472573	55.59
65.407116	56.26
66.355206	56.85
67.317038	57.38
68.292813	57.83
69.282731	58.21
70.286999	58.47
71.305824	58.60
72.339416	58.60
73.387991	58.44
74.451765	58.10
75.530959	57.61
76.625796	57.05
77.736503	56.51
78.863310	56.07
80.006450	55.85
81.166160	55.86
82.342680	56.00
83.536255	56.22
84.747130	56.55
85.975557	57.04
87.221791	57.62
88.486089	58.22
