	sin filtrar		
Frequency (Hz)	Level (dB)

11.139739	42.73
11.301211	42.87
11.465025	43.00
11.631213	43.13
11.799810	43.26
11.970850	43.37
12.144370	43.48
12.320405	43.58
12.498992	43.67
12.680168	43.76
12.863969	43.84
13.050435	43.91
13.239604	43.97
13.431515	44.03
13.626208	44.07
13.823722	44.11
14.024100	44.14
14.227382	44.17
14.433611	44.18
14.642829	44.19
14.855080	44.19
15.070408	44.17
15.288856	44.16
15.510471	44.13
15.735299	44.09
15.963385	44.04
16.194778	43.97
16.429525	43.90
16.667674	43.81
16.909275	43.70
17.154379	43.59
17.403035	43.43
17.655296	43.28
17.911213	43.11
18.170840	42.89
18.434230	42.67
18.701438	42.43
18.972519	42.15
19.247530	41.84
19.526527	41.53
19.809568	41.20
20.096712	40.85
20.388018	40.51
20.683546	40.17
20.983358	39.85
21.287517	39.56
21.596084	39.31
21.909123	39.11
22.226701	38.94
22.548881	38.81
22.875732	38.71
23.207320	38.62
23.543715	38.55
23.884986	38.47
24.231204	38.37
24.582441	38.27
24.938768	38.16
25.300261	38.02
25.666993	37.86
26.039042	37.68
26.416483	37.46
26.799396	37.21
27.187858	36.91
27.581952	36.58
27.981758	36.21
28.387360	35.80
28.798840	35.40
29.216286	35.00
29.639782	34.64
30.069416	34.35
30.505279	34.13
30.947459	33.97
31.396049	33.85
31.851141	33.75
32.312830	33.63
32.781212	33.48
33.256382	33.27
33.738440	33.00
34.227486	32.68
34.723620	32.32
35.226947	31.92
35.737568	31.49
36.255592	31.05
36.781124	30.58
37.314274	30.08
37.855152	29.57
38.403871	29.04
38.960543	28.50
39.525284	28.00
40.098211	27.53
40.679443	27.15
41.269100	26.94
41.867304	27.01
42.474180	27.54
43.089852	28.61
43.714448	30.09
44.348098	31.70
44.990933	33.22
45.643086	34.53
46.304692	35.57
46.975888	36.35
47.656813	36.93
48.347609	37.29
49.048418	37.44
49.759385	37.36
50.480657	37.02
51.212385	36.47
51.954719	35.73
52.707813	35.02
53.471824	35.16
54.246909	37.17
55.033230	40.26
55.830948	43.34
56.640229	46.16
57.461241	48.80
58.294153	51.23
59.139139	53.41
59.996373	55.28
60.866033	56.86
61.748299	58.18
62.643354	59.28
63.551382	60.20
64.472573	60.94
65.407116	61.54
66.355206	62.00
67.317038	62.35
68.292813	62.59
69.282731	62.73
70.286999	62.77
71.305824	62.70
72.339416	62.52
73.387991	62.26
74.451765	61.91
75.530959	61.52
76.625796	61.14
77.736503	60.83
78.863310	60.62
80.006450	60.56
81.166160	60.65
82.342680	60.89
83.536255	61.21
84.747130	61.53
85.975557	61.76
87.221791	61.90
88.486089	62.00
89.768713	62.11
91.069929	62.25
92.390007	62.48
93.729219	62.82
95.087844	63.25
96.466162	63.78
97.864459	64.37
99.283025	64.92
100.722153	65.34
102.182141	65.65
103.663293	65.92
105.165914	66.28
106.690316	66.85
108.236814	67.56
109.805729	68.24
111.397386	68.75
113.012114	68.99
114.650248	69.03
116.312128	68.90
117.998096	68.63
119.708503	68.30
121.443703	68.00
123.204054	67.81
124.989923	67.68
126.801678	67.59
128.639694	67.51
130.504354	67.40
132.396041	67.29
134.315150	67.31
136.262076	67.58
138.237223	67.97
140.241000	68.24
142.273823	68.28
144.336111	68.10
146.428293	67.67
148.550802	66.92
150.704076	65.87
152.888563	64.67
155.104715	63.44
157.352990	62.02
159.633854	60.71
161.947780	60.29
164.295247	60.78
166.676741	61.30
169.092755	61.74
171.543790	62.38
174.030353	63.33
176.552959	64.06
179.112131	64.18
181.708398	64.05
184.342299	63.66
187.014379	62.55
189.725192	60.56
192.475298	58.16
195.265267	56.88
198.095678	58.14
200.967116	59.89
203.880176	61.03
206.835462	61.81
209.833585	62.14
212.875166	61.76
215.960836	61.18
219.091233	60.87
222.267006	60.95
225.488813	61.87
228.757320	62.84
232.073205	62.70
235.437154	61.69
238.849865	60.72
242.312043	59.45
245.824407	57.71
249.387683	56.79
253.002609	56.80
256.669935	57.11
260.390419	58.87
264.164832	60.33
267.993956	60.35
271.878584	59.57
275.819521	58.04
279.817582	56.90
283.873596	56.57
287.988403	56.92
292.162855	58.40
296.397817	60.05
300.694165	60.79
305.052789	60.34
309.474593	60.57
313.960491	60.93
318.511414	60.64
323.128303	59.97
327.812115	58.89
332.563820	58.86
337.384402	59.25
342.274859	59.33
347.236204	59.77
352.269465	60.40
357.375684	60.34
362.555919	60.77
367.811243	60.69
373.142743	60.60
378.551525	59.31
384.038708	58.87
389.605429	59.06
395.252841	59.05
400.982113	58.31
406.794432	58.04
412.691002	57.28
418.673044	56.35
424.741797	57.28
430.898518	58.43
437.144481	58.54
443.480981	58.07
449.909331	57.37
456.430860	57.64
463.046920	56.80
469.758882	55.11
476.568134	53.38
483.476089	55.47
490.484175	57.37
497.593845	56.50
504.806572	56.35
512.123848	57.82
519.547190	58.14
527.078134	57.74
534.718242	56.74
542.469094	56.04
550.332296	57.41
558.309477	58.00
566.402289	58.28
574.612408	59.28
582.941535	58.87
591.391394	57.58
599.963735	55.84
608.660334	56.76
617.482992	56.01
626.433537	55.28
635.513821	53.65
644.725726	55.02
654.071160	58.60
663.552057	61.96
673.170382	65.09
682.928127	65.82
692.827312	65.36
702.869989	64.62
713.058235	62.86
723.394163	63.11
733.879912	63.57
744.517654	61.65
755.309592	60.57
766.257962	62.32
777.365030	61.02
788.633098	58.28
800.064499	56.96
811.661600	55.17
823.426804	56.12
835.362547	56.58
847.471301	58.34
