	RODE 0g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-28.49	19.22	0.96
11.718750	-21.21	35.69	0.99
12.695313	-21.17	3.18	0.98
13.671875	-28.38	-6.19	0.88
14.648438	-17.62	-14.10	0.92
15.625000	-20.23	110.06	0.37
16.601563	-9.65	-124.68	1.00
17.578125	-10.30	-130.18	1.00
18.554688	-13.09	-118.63	0.89
19.531250	-11.53	140.79	0.91
20.507813	-8.06	159.03	1.00
21.484375	-9.24	165.35	0.96
22.460938	-12.72	9.15	0.98
23.437500	-13.82	10.15	1.00
24.414063	-12.01	3.91	1.00
25.390625	-13.36	26.36	0.96
26.367188	-10.83	146.47	0.97
27.343750	-18.28	139.54	0.89
28.320313	-13.11	65.50	0.88
29.296875	-8.37	123.85	0.91
30.273438	-2.91	117.62	1.00
31.250000	-1.15	105.18	0.98
32.226563	3.32	71.72	1.00
33.203125	-1.44	82.61	0.96
34.179688	-3.62	85.51	0.99
35.156250	-10.16	56.93	0.92
36.132813	1.10	44.57	0.93
37.109375	2.57	94.35	0.97
38.085938	3.55	97.83	1.00
39.062500	5.62	87.30	0.99
40.039063	4.52	76.79	1.00
41.015625	2.39	43.96	0.97
41.992188	5.69	38.11	1.00
42.968750	5.61	34.70	1.00
43.945313	4.12	41.19	1.00
44.921875	4.39	39.44	1.00
45.898438	3.16	42.00	1.00
46.875000	4.27	35.33	1.00
47.851563	3.39	29.91	0.90
48.828125	3.26	27.41	0.99
49.804688	3.70	35.66	1.00
50.781250	3.46	33.98	1.00
51.757813	2.63	36.18	1.00
52.734375	5.53	42.50	1.00
53.710938	4.48	25.26	1.00
54.687500	4.14	25.00	1.00
55.664063	3.97	24.16	1.00
56.640625	3.97	23.34	1.00
57.617188	4.14	23.20	1.00
58.593750	4.47	21.65	1.00
59.570313	4.27	19.02	1.00
60.546875	4.47	18.24	1.00
61.523438	5.56	7.63	1.00
62.500000	4.23	9.45	1.00
63.476563	3.74	9.93	1.00
64.453125	4.09	8.41	1.00
65.429688	4.38	13.58	1.00
66.406250	3.10	10.06	1.00
67.382813	2.34	6.80	1.00
68.359375	2.92	4.91	1.00
69.335938	2.74	4.00	1.00
70.312500	2.58	7.55	1.00
71.289063	2.77	7.19	1.00
72.265625	2.73	11.18	1.00
73.242188	2.63	10.67	1.00
74.218750	3.99	15.83	1.00
75.195313	5.20	13.73	1.00
76.171875	4.53	8.91	1.00
77.148438	4.03	5.83	1.00
78.125000	4.25	-0.01	1.00
79.101563	4.78	-3.59	1.00
80.078125	4.62	-4.19	1.00
81.054688	4.38	-6.02	1.00
82.031250	4.25	-6.40	1.00
83.007813	3.61	-6.55	1.00
83.984375	4.00	-6.87	1.00
84.960938	3.23	-10.26	1.00
85.937500	3.19	-10.98	1.00
86.914063	3.22	-11.23	1.00
87.890625	3.25	-9.39	1.00
88.867188	2.70	-13.66	1.00
89.843750	2.54	-13.80	1.00
90.820313	2.33	-13.86	1.00
91.796875	2.21	-13.82	1.00
92.773438	2.18	-13.85	1.00
93.750000	2.09	-15.12	1.00
94.726563	1.78	-14.63	1.00
95.703125	1.37	-16.88	1.00
96.679688	1.81	-18.11	1.00
97.656250	1.74	-18.94	1.00
98.632813	1.56	-17.30	1.00
99.609375	1.21	-20.85	1.00
100.585938	1.00	-23.07	1.00
101.562500	0.68	-23.31	1.00
102.539063	0.49	-21.64	1.00
103.515625	0.21	-20.58	1.00
