	RODE 165g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-26.62	59.37	0.99
11.718750	-25.67	106.76	0.99
12.695313	-24.83	151.74	0.97
13.671875	-14.45	18.46	0.95
14.648438	-15.30	46.20	1.00
15.625000	-29.22	177.16	0.80
16.601563	-16.76	75.61	0.63
17.578125	-22.88	44.13	0.90
18.554688	-10.71	145.92	0.64
19.531250	-13.96	54.81	0.97
20.507813	-16.77	43.58	0.98
21.484375	-14.82	10.25	1.00
22.460938	-16.33	5.71	1.00
23.437500	-15.44	-2.89	0.99
24.414063	-13.81	-51.13	0.91
25.390625	-14.32	41.85	0.97
26.367188	-10.18	41.95	0.93
27.343750	-9.40	-30.55	0.99
28.320313	-5.46	3.12	0.98
29.296875	-5.24	55.85	0.70
30.273438	-7.12	126.47	1.00
31.250000	-7.92	6.88	0.90
32.226563	-4.04	-47.39	0.98
33.203125	-16.03	-172.18	0.63
34.179688	-6.89	160.40	0.91
35.156250	-9.55	-163.65	0.97
36.132813	-14.22	-46.14	0.91
37.109375	-3.71	-56.72	0.98
38.085938	-0.40	-96.64	0.99
39.062500	3.38	-103.63	1.00
40.039063	1.86	-122.10	1.00
41.015625	2.66	-110.84	1.00
41.992188	3.17	-115.84	1.00
42.968750	3.44	-136.27	1.00
43.945313	2.79	-143.10	1.00
44.921875	2.52	-135.44	1.00
45.898438	2.18	-143.24	1.00
46.875000	2.13	-149.88	1.00
47.851563	1.28	-142.11	1.00
48.828125	3.04	-137.23	1.00
49.804688	2.97	-139.32	1.00
50.781250	3.41	-137.56	1.00
51.757813	2.83	-145.06	1.00
52.734375	2.88	-150.96	1.00
53.710938	2.94	-148.69	1.00
54.687500	3.09	-154.13	1.00
55.664063	3.07	-152.96	1.00
56.640625	2.59	-154.46	1.00
57.617188	2.58	-156.61	1.00
58.593750	2.72	-160.38	1.00
59.570313	2.68	-160.30	1.00
60.546875	2.49	-162.34	1.00
61.523438	3.10	-168.50	1.00
62.500000	2.96	-168.90	1.00
63.476563	2.86	-170.15	1.00
64.453125	2.67	-171.50	1.00
65.429688	2.22	-173.41	1.00
66.406250	2.05	-173.31	1.00
67.382813	1.84	-174.00	1.00
68.359375	1.41	-173.49	1.00
69.335938	1.36	-171.77	1.00
70.312500	0.71	-171.31	1.00
71.289063	0.77	-171.19	1.00
72.265625	0.83	-170.96	1.00
73.242188	1.47	-171.06	1.00
74.218750	1.87	-166.79	1.00
75.195313	1.98	-168.45	1.00
76.171875	2.50	-171.98	1.00
77.148438	3.45	-172.70	1.00
78.125000	3.65	-179.46	1.00
79.101563	3.27	178.27	1.00
80.078125	3.59	175.88	1.00
81.054688	2.54	171.13	1.00
82.031250	2.28	168.28	1.00
83.007813	2.39	167.85	1.00
83.984375	1.90	166.32	1.00
84.960938	1.60	164.93	1.00
85.937500	1.59	164.32	1.00
86.914063	0.84	163.06	1.00
87.890625	0.96	163.92	1.00
88.867188	0.88	164.23	1.00
89.843750	0.82	166.41	1.00
90.820313	0.45	162.60	1.00
91.796875	0.29	163.57	1.00
92.773438	0.56	166.02	1.00
93.750000	0.41	162.14	1.00
94.726563	0.42	160.63	1.00
95.703125	0.29	159.19	1.00
96.679688	-0.04	158.42	1.00
97.656250	-0.44	157.52	1.00
98.632813	-0.44	153.31	1.00
99.609375	-0.83	151.97	1.00
100.585938	-1.18	152.97	1.00
101.562500	-1.38	153.77	1.00
102.539063	-1.68	158.74	1.00
103.515625	-2.48	155.12	1.00
104.492188	-2.66	155.28	1.00
105.468750	-2.79	158.28	1.00
106.445313	-2.63	157.44	1.00
107.421875	-2.78	158.58	1.00
108.398438	-2.78	160.21	1.00
109.375000	-3.03	158.70	1.00
110.351563	-3.08	158.44	1.00
111.328125	-3.22	158.10	1.00
112.304688	-3.37	157.79	1.00
113.281250	-3.61	158.95	1.00
114.257813	-3.82	158.10	1.00
115.234375	-3.88	157.37	1.00
116.210938	-4.20	159.77	1.00
117.187500	-4.50	161.13	1.00
118.164063	-4.68	161.65	1.00
119.140625	-4.97	163.28	1.00
120.117188	-4.92	165.37	1.00
121.093750	-4.85	166.43	1.00
122.070313	-4.82	167.90	1.00
123.046875	-4.94	168.96	1.00
124.023438	-4.97	169.18	1.00
125.000000	-4.96	169.55	1.00
125.976563	-5.14	170.08	1.00
126.953125	-5.24	170.05	1.00
127.929688	-5.40	170.40	1.00
128.906250	-5.43	173.89	1.00
129.882813	-5.49	175.05	1.00
130.859375	-5.47	175.91	1.00
131.835938	-5.31	177.01	1.00
132.812500	-5.31	178.78	1.00
133.789063	-5.31	-179.70	1.00
134.765625	-5.18	-178.66	1.00
135.742188	-5.07	-178.50	1.00
136.718750	-5.01	-177.78	1.00
