	58 0g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-36.72	-23.99	0.76
11.718750	-39.93	-10.69	0.58
12.695313	-36.25	-12.65	0.81
13.671875	-38.00	27.42	0.51
14.648438	-34.38	-23.71	0.77
15.625000	-37.77	-5.30	0.63
16.601563	-33.70	-5.30	0.97
17.578125	-40.77	-15.16	0.80
18.554688	-32.96	-22.78	0.76
19.531250	-31.97	5.66	0.93
20.507813	-30.05	-22.35	0.97
21.484375	-29.94	4.09	0.92
22.460938	-26.92	-33.79	0.94
23.437500	-25.26	-37.24	0.91
24.414063	-29.20	-18.76	0.89
25.390625	-24.60	-23.98	0.99
26.367188	-25.49	-15.19	0.99
27.343750	-24.30	-26.41	0.97
28.320313	-23.66	2.64	0.95
29.296875	-22.56	20.36	0.97
30.273438	-18.15	-6.38	0.99
31.250000	-16.44	-11.67	1.00
32.226563	-15.96	-18.29	1.00
33.203125	-17.30	-26.18	1.00
34.179688	-15.04	-32.91	1.00
35.156250	-14.40	-37.26	1.00
36.132813	-15.43	-30.99	1.00
37.109375	-14.63	-30.50	1.00
38.085938	-12.95	-27.90	1.00
39.062500	-12.42	-13.42	1.00
40.039063	-9.08	-44.81	1.00
41.015625	-8.84	-37.25	1.00
41.992188	-8.40	-55.85	1.00
42.968750	-10.68	-50.85	1.00
43.945313	-9.93	-50.67	1.00
44.921875	-9.94	-50.73	1.00
45.898438	-9.11	-52.63	1.00
46.875000	-9.26	-53.90	1.00
47.851563	-9.17	-54.44	1.00
48.828125	-8.40	-58.40	1.00
49.804688	-7.94	-54.02	1.00
50.781250	-8.18	-57.83	1.00
51.757813	-8.27	-60.66	1.00
52.734375	-7.39	-59.53	1.00
53.710938	-7.18	-61.64	1.00
54.687500	-6.94	-60.95	1.00
55.664063	-6.90	-65.80	1.00
56.640625	-6.67	-65.48	1.00
57.617188	-6.48	-65.95	1.00
58.593750	-6.26	-66.82	1.00
59.570313	-5.89	-69.32	1.00
60.546875	-5.52	-72.51	1.00
61.523438	-5.46	-73.69	1.00
62.500000	-5.71	-71.95	1.00
63.476563	-5.16	-77.59	1.00
64.453125	-5.12	-79.62	1.00
65.429688	-5.12	-79.42	1.00
66.406250	-4.84	-81.30	1.00
67.382813	-5.25	-86.32	1.00
68.359375	-4.86	-84.31	1.00
69.335938	-4.73	-87.68	1.00
70.312500	-4.95	-85.13	1.00
71.289063	-5.12	-85.08	1.00
72.265625	-5.45	-85.58	1.00
73.242188	-4.23	-79.65	1.00
74.218750	-4.22	-81.61	1.00
75.195313	-3.85	-83.79	1.00
76.171875	-3.06	-79.30	1.00
77.148438	-1.75	-86.35	1.00
78.125000	-2.58	-86.86	1.00
79.101563	-2.31	-95.43	1.00
80.078125	-2.42	-95.27	1.00
81.054688	-2.38	-95.74	1.00
82.031250	-2.57	-100.82	1.00
83.007813	-2.50	-101.08	1.00
83.984375	-2.49	-101.19	1.00
84.960938	-2.56	-103.79	1.00
85.937500	-2.54	-103.95	1.00
86.914063	-2.57	-104.38	1.00
87.890625	-2.49	-105.18	1.00
88.867188	-2.33	-105.77	1.00
89.843750	-2.36	-106.08	1.00
90.820313	-2.20	-105.33	1.00
91.796875	-2.22	-108.81	1.00
92.773438	-2.10	-107.75	1.00
93.750000	-2.22	-107.37	1.00
94.726563	-1.65	-110.80	1.00
95.703125	-1.49	-111.68	1.00
96.679688	-1.54	-112.69	1.00
97.656250	-1.54	-115.28	1.00
98.632813	-2.04	-118.44	1.00
99.609375	-1.81	-118.77	1.00
100.585938	-1.82	-118.85	1.00
101.562500	-1.85	-119.44	1.00
102.539063	-1.98	-120.67	1.00
103.515625	-1.96	-120.70	1.00
104.492188	-1.87	-121.06	1.00
105.468750	-1.83	-122.24	1.00
106.445313	-2.44	-126.95	1.00
107.421875	-1.91	-127.38	1.00
108.398438	-1.84	-129.89	1.00
109.375000	-2.45	-131.38	1.00
110.351563	-2.64	-129.95	1.00
111.328125	-2.78	-129.16	1.00
112.304688	-2.99	-127.18	1.00
113.281250	-2.96	-126.88	1.00
114.257813	-2.86	-126.94	1.00
115.234375	-2.92	-126.67	1.00
116.210938	-2.96	-126.59	1.00
117.187500	-2.97	-126.50	1.00
118.164063	-2.96	-126.39	1.00
119.140625	-2.95	-125.92	1.00
120.117188	-3.01	-125.34	1.00
121.093750	-2.98	-124.37	1.00
122.070313	-2.91	-124.58	1.00
123.046875	-2.76	-125.04	1.00
124.023438	-2.75	-125.23	1.00
125.000000	-2.66	-125.55	1.00
125.976563	-2.65	-125.92	1.00
126.953125	-2.57	-125.94	1.00
