freq [Hz]	Cone excursion at MOL
20	0.00203
21.19	0.002048
22.45	0.002072
23.78	0.002101
25.2	0.002121
26.7	0.002121
28.28	0.002121
29.97	0.002121
31.75	0.001871
33.64	0.001564
35.64	0.001507
37.75	0.001563
40	0.00163
42.38	0.001688
44.9	0.001738
47.57	0.001782
50.4	0.001822
53.39	0.00186
56.57	0.001897
59.93	0.001933
63.5	0.001969
67.27	0.002002
71.27	0.00203
75.51	0.002051
80	0.002059
84.76	0.002046
89.8	0.002007
95.14	0.001933
100.8	0.001824
106.8	0.001685
113.1	0.001523
119.9	0.001353
127	0.001184
134.5	0.001026
142.5	8.833E-4
151	7.571E-4
160	6.474E-4
169.5	0.000553
179.6	4.722E-4
190.3	4.032E-4
201.6	3.445E-4
213.6	2.944E-4
226.3	2.518E-4
239.7	2.154E-4
254	1.843E-4
269.1	1.578E-4
285.1	1.351E-4
302	1.157E-4
320	9.906E-5
339	8.483E-5
359.2	7.263E-5
380.5	6.219E-5
403.2	5.323E-5
427.1	4.556E-5
452.5	3.898E-5
479.5	3.334E-5
508	2.851E-5
538.2	2.438E-5
570.2	2.083E-5
604.1	1.78E-5
640	1.521E-5
678.1	1.298E-5
718.4	1.108E-5
761.1	9.46E-6
806.3	8.072E-6
854.3	6.885E-6
905.1	5.872E-6
958.9	5.006E-6
1016	4.268E-6
1076	3.637E-6
1140	3.099E-6
1208	2.64E-6
1280	2.249E-6
1356	1.915E-6
1437	1.63E-6
1522	1.388E-6
1613	1.181E-6
1709	1.005E-6
1810	8.554E-7
1918	7.277E-7
2032	6.189E-7
2153	5.264E-7
2281	4.475E-7
2416	3.805E-7
2560	3.234E-7
2712	2.748E-7
2874	2.335E-7
3044	1.984E-7
3225	1.685E-7
3417	1.431E-7
3620	1.215E-7
3836	1.032E-7
4064	8.761E-8
4305	7.437E-8
4561	6.312E-8
4833	5.356E-8
5120	4.545E-8
5424	3.856E-8
5747	3.272E-8
6089	2.775E-8
6451	2.354E-8
6834	1.997E-8
7241	1.693E-8
7671	1.436E-8
8127	1.218E-8
8611	1.033E-8
9123	8.754E-9
9665	7.422E-9
10240	6.293E-9
10850	5.335E-9
11490	4.522E-9
12180	3.834E-9
12900	3.25E-9
13670	2.755E-9
14480	2.335E-9
15340	1.979E-9
16250	1.677E-9
17220	1.422E-9
18250	1.205E-9
19330	1.021E-9
20480	8.654E-10
