freq [Hz]	System response	System response phase
20	37.42	-36.37
21.19	39.7	-37.11
22.45	42.04	-38.08
23.78	44.44	-39.31
25.2	46.91	-40.87
26.7	49.47	-42.83
28.28	52.15	-45.33
29.97	54.96	-48.55
31.75	57.94	-52.84
33.64	61.13	-58.75
35.64	64.55	-67.3
37.75	68.16	-80.34
40	71.58	-100.5
42.38	73.86	-127.7
44.9	74.39	-154
47.57	74.03	-173
50.4	73.61	174.2
53.39	73.4	165
56.57	73.44	157.7
59.93	73.67	151.4
63.5	74.07	145.5
67.27	74.6	139.8
71.27	75.23	133.8
75.51	75.92	127.5
80	76.64	120.6
84.76	77.34	113.2
89.8	78	105
95.14	78.55	96.29
100.8	78.97	87.16
106.8	79.22	77.93
113.1	79.3	68.96
119.9	79.24	60.52
127	79.06	52.82
134.5	78.8	45.93
142.5	78.5	39.85
151	78.18	34.5
160	77.85	29.81
169.5	77.54	25.68
179.6	77.25	22.01
190.3	76.97	18.74
201.6	76.72	15.78
213.6	76.49	13.09
226.3	76.28	10.61
239.7	76.1	8.293
254	75.93	6.113
269.1	75.79	4.034
285.1	75.66	2.03
302	75.54	0.07446
320	75.44	-1.852
339	75.34	-3.77
359.2	75.26	-5.696
380.5	75.18	-7.645
403.2	75.11	-9.631
427.1	75.04	-11.67
452.5	74.97	-13.76
479.5	74.9	-15.93
508	74.82	-18.18
538.2	74.74	-20.51
570.2	74.65	-22.94
604.1	74.55	-25.47
640	74.43	-28.1
678.1	74.29	-30.84
718.4	74.14	-33.68
761.1	73.95	-36.63
806.3	73.74	-39.67
854.3	73.5	-42.8
905.1	73.22	-46.01
958.9	72.89	-49.27
1016	72.52	-52.56
1076	72.09	-55.84
1140	71.61	-59.06
1208	71.06	-62.14
1280	70.46	-65.01
1356	69.78	-67.56
1437	69.05	-69.67
1522	68.28	-71.19
1613	67.49	-72.01
1709	66.71	-72.05
1810	65.99	-71.34
1918	65.38	-70.1
2032	64.89	-68.68
2153	64.53	-67.5
2281	64.25	-66.88
2416	63.99	-66.93
2560	63.7	-67.53
2712	63.33	-68.4
2874	62.9	-69.19
3044	62.43	-69.64
3225	61.98	-69.73
3417	61.58	-69.73
3620	61.22	-69.99
3836	60.84	-70.61
4064	60.39	-71.24
4305	59.91	-71.48
4561	59.47	-71.31
4833	59.1	-71.26
5120	58.75	-71.73
5424	58.32	-72.42
5747	57.84	-72.72
6089	57.41	-72.59
6451	57.04	-72.74
6834	56.63	-73.24
7241	56.19	-73.47
7671	55.78	-73.69
8127	55.34	-74.01
8611	54.91	-74.06
9123	54.52	-74.29
9665	54.09	-74.82
10240	53.62	-74.91
10850	53.22	-75.11
11490	52.75	-75.46
12180	52.32	-75.4
12900	51.89	-76.14
13670	51.28	-75.42
14480	51.01	-75.17
15340	50.67	-73.8
16250	50.58	-79.13
17220	49.15	-75.05
18250	49.53	-76.26
19330	48.79	-76.35
20480	48.5	-76.36
