freq [Hz]	System response	System response phase
20	44.7	-36.37
21.19	47.37	-38.42
22.45	50.18	-41.1
23.78	53.17	-44.74
25.2	56.38	-49.84
26.7	59.87	-57.43
28.28	63.63	-69.46
29.97	67.34	-89.29
31.75	69.88	-118.2
33.64	70.28	-146.7
35.64	69.62	-166.1
37.75	68.96	-178.3
40	68.59	173.6
42.38	68.5	167.6
44.9	68.64	162.7
47.57	68.95	158.4
50.4	69.41	154.5
53.39	69.99	150.7
56.57	70.66	146.8
59.93	71.41	142.8
63.5	72.23	138.4
67.27	73.09	133.7
71.27	73.98	128.5
75.51	74.88	122.7
80	75.76	116.2
84.76	76.59	109.1
89.8	77.33	101.3
95.14	77.94	92.9
100.8	78.41	84.24
106.8	78.7	75.58
113.1	78.83	67.22
119.9	78.83	59.39
127	78.73	52.26
134.5	78.55	45.86
142.5	78.34	40.18
151	78.1	35.15
160	77.87	30.69
169.5	77.64	26.71
179.6	77.42	23.13
190.3	77.22	19.88
201.6	77.04	16.9
213.6	76.88	14.14
226.3	76.73	11.55
239.7	76.6	9.083
254	76.49	6.715
269.1	76.39	4.414
285.1	76.3	2.154
302	76.22	-0.08711
320	76.14	-2.328
339	76.07	-4.585
359.2	76.01	-6.873
380.5	75.94	-9.204
403.2	75.87	-11.59
427.1	75.8	-14.04
452.5	75.72	-16.56
479.5	75.63	-19.16
508	75.53	-21.84
538.2	75.41	-24.6
570.2	75.27	-27.45
604.1	75.11	-30.38
640	74.92	-33.38
678.1	74.71	-36.46
718.4	74.47	-39.58
761.1	74.18	-42.75
806.3	73.86	-45.93
854.3	73.5	-49.09
905.1	73.09	-52.19
958.9	72.64	-55.19
1016	72.14	-58.04
1076	71.59	-60.68
1140	71.01	-63.04
1208	70.4	-65.07
1280	69.76	-66.75
1356	69.13	-68.06
1437	68.49	-69.05
1522	67.88	-69.77
1613	67.28	-70.31
1709	66.68	-70.71
1810	66.09	-70.96
1918	65.49	-70.95
2032	64.9	-70.55
2153	64.34	-69.66
2281	63.87	-68.37
2416	63.52	-67.03
2560	63.28	-66.15
2712	63.1	-66.09
2874	62.88	-66.84
3044	62.57	-68.03
3225	62.16	-69.12
3417	61.71	-69.79
3620	61.28	-70.19
3836	60.86	-70.66
4064	60.41	-71.14
4305	59.95	-71.28
4561	59.55	-71.24
4833	59.18	-71.58
5120	58.76	-72.06
5424	58.35	-72.31
5747	57.95	-72.84
6089	57.45	-73.22
6451	57.05	-72.73
6834	56.78	-73.51
7241	56.2	-74.89
7671	55.67	-73.76
8127	55.43	-74.32
8611	54.82	-75.06
9123	54.46	-74.14
9665	54.06	-75.24
10240	53.55	-74.58
10850	53.23	-75.26
11490	52.72	-75.03
12180	52.31	-75.56
12900	51.97	-74.69
13670	51.71	-76.85
14480	50.42	-78.48
15340	50.87	-71.67
16250	50.43	-77.13
17220	49.38	-77.2
18250	49.33	-76.33
19330	48.82	-76.12
20480	48.55	-77.15
