freq [Hz]	System response	System response phase	Electrical impedance	Electrical impedance phase
20	55.05	162.8	8.299	12.82
21.19	56.06	161.8	8.343	13.53
22.45	57.08	160.8	8.393	14.28
23.78	58.1	159.6	8.448	15.07
25.2	59.12	158.4	8.51	15.9
26.7	60.14	157.1	8.58	16.78
28.28	61.17	155.8	8.659	17.71
29.97	62.21	154.3	8.749	18.69
31.75	63.24	152.7	8.852	19.73
33.64	64.29	151	8.97	20.82
35.64	65.33	149.2	9.106	21.97
37.75	66.39	147.3	9.264	23.18
40	67.45	145.1	9.449	24.46
42.38	68.52	142.8	9.668	25.79
44.9	69.6	140.3	9.928	27.18
47.57	70.68	137.6	10.24	28.61
50.4	71.78	134.6	10.63	30.06
53.39	72.88	131.2	11.1	31.51
56.57	73.98	127.5	11.7	32.88
59.93	75.09	123.4	12.47	34.06
63.5	76.2	118.8	13.47	34.86
67.27	77.29	113.6	14.79	34.92
71.27	78.35	107.8	16.54	33.66
75.51	79.37	101.3	18.76	30.09
80	80.31	94.04	21.16	22.97
84.76	81.16	86.1	22.6	11.92
89.8	81.87	77.56	21.72	-0.3603
95.14	82.41	68.62	19.03	-9.395
100.8	82.78	59.53	16.17	-13.53
106.8	82.97	50.61	13.94	-13.84
113.1	83	42.09	12.38	-11.84
119.9	82.9	34.17	11.33	-8.664
127	82.71	26.91	10.64	-4.985
134.5	82.44	20.35	10.2	-1.193
142.5	82.13	14.43	9.929	2.516
151	81.8	9.096	9.787	6.049
160	81.45	4.274	9.736	9.375
169.5	81.1	-0.1049	9.753	12.49
179.6	80.74	-4.104	9.823	15.41
190.3	80.39	-7.777	9.937	18.15
201.6	80.03	-11.17	10.09	20.73
213.6	79.68	-14.32	10.27	23.16
226.3	79.34	-17.27	10.48	25.47
239.7	79	-20.03	10.72	27.66
254	78.66	-22.63	10.98	29.74
269.1	78.32	-25.09	11.26	31.74
285.1	77.98	-27.42	11.58	33.64
302	77.64	-29.63	11.91	35.47
320	77.3	-31.74	12.28	37.23
339	76.97	-33.75	12.66	38.92
359.2	76.63	-35.67	13.08	40.55
380.5	76.28	-37.5	13.52	42.11
403.2	75.94	-39.26	13.99	43.62
427.1	75.6	-40.94	14.49	45.07
452.5	75.25	-42.55	15.02	46.47
479.5	74.9	-44.09	15.58	47.82
508	74.54	-45.57	16.18	49.11
538.2	74.19	-46.99	16.81	50.36
570.2	73.83	-48.35	17.48	51.57
604.1	73.47	-49.65	18.19	52.73
640	73.1	-50.9	18.94	53.84
678.1	72.74	-52.1	19.73	54.92
718.4	72.37	-53.24	20.56	55.95
761.1	72	-54.34	21.45	56.94
806.3	71.62	-55.39	22.38	57.89
854.3	71.24	-56.4	23.36	58.8
905.1	70.87	-57.36	24.4	59.68
958.9	70.48	-58.28	25.5	60.52
1016	70.1	-59.16	26.65	61.33
1076	69.72	-60.01	27.87	62.1
1140	69.33	-60.82	29.15	62.85
1208	68.94	-61.59	30.5	63.56
1280	68.55	-62.33	31.92	64.24
1356	68.16	-63.04	33.42	64.89
1437	67.77	-63.72	35	65.51
1522	67.37	-64.37	36.67	66.1
1613	66.98	-64.99	38.42	66.67
1709	66.58	-65.59	40.27	67.22
1810	66.18	-66.16	42.21	67.74
1918	65.78	-66.71	44.25	68.24
2032	65.38	-67.24	46.41	68.71
2153	64.97	-67.74	48.67	69.16
2281	64.57	-68.23	51.05	69.6
2416	64.16	-68.69	53.56	70.01
2560	63.75	-69.13	56.2	70.4
2712	63.34	-69.56	58.98	70.78
2874	62.93	-69.97	61.9	71.14
3044	62.52	-70.36	64.98	71.48
3225	62.1	-70.73	68.21	71.81
3417	61.69	-71.09	71.61	72.12
3620	61.27	-71.43	75.19	72.41
3836	60.85	-71.76	78.96	72.7
4064	60.44	-72.07	82.92	72.97
4305	60.01	-72.37	87.08	73.22
4561	59.59	-72.65	91.46	73.47
4833	59.17	-72.93	96.07	73.7
5120	58.75	-73.19	100.9	73.92
5424	58.32	-73.43	106	74.13
5747	57.9	-73.67	111.4	74.33
6089	57.47	-73.9	117	74.53
6451	57.05	-74.11	122.9	74.71
6834	56.62	-74.32	129.2	74.88
7241	56.19	-74.51	135.7	75.05
7671	55.76	-74.7	142.6	75.21
8127	55.34	-74.87	149.9	75.36
8611	54.91	-75.04	157.5	75.5
9123	54.48	-75.2	165.5	75.64
9665	54.05	-75.36	174	75.76
10240	53.61	-75.5	182.9	75.89
10850	53.18	-75.64	192.2	76.01
11490	52.75	-75.77	202	76.12
12180	52.32	-75.9	212.3	76.22
12900	51.89	-76.02	223.2	76.32
13670	51.46	-76.13	234.6	76.42
14480	51.02	-76.24	246.6	76.51
15340	50.59	-76.34	259.2	76.6
16250	50.16	-76.44	272.4	76.68
17220	49.72	-76.53	286.4	76.76
18250	49.29	-76.62	301.1	76.84
19330	48.86	-76.7	316.5	76.91
20480	48.42	-76.78	332.7	76.98
