freq [Hz]	Driver response	Driver response phase
20	49.3	165.1
21.19	50.36	164.1
22.45	51.42	163
23.78	52.5	161.8
25.2	53.59	160.5
26.7	54.69	159
28.28	55.82	157.3
29.97	56.97	155.2
31.75	58.16	152.6
33.64	59.37	149.3
35.64	60.57	144.6
37.75	61.67	137.8
40	62.25	128.1
42.38	61.61	119.7
44.9	60.42	122.8
47.57	60.79	133.3
50.4	62.3	139.2
53.39	63.95	140.6
56.57	65.51	139.7
59.93	66.98	137.4
63.5	68.37	134.4
67.27	69.71	130.6
71.27	71.01	126.1
75.51	72.26	120.9
80	73.45	115
84.76	74.57	108.2
89.8	75.57	100.6
95.14	76.42	92.39
100.8	77.1	83.65
106.8	77.57	74.76
113.1	77.85	66.07
119.9	77.95	57.87
127	77.92	50.37
134.5	77.8	43.66
142.5	77.61	37.74
151	77.39	32.53
160	77.16	27.96
169.5	76.92	23.93
179.6	76.7	20.35
190.3	76.48	17.16
201.6	76.28	14.27
213.6	76.1	11.64
226.3	75.94	9.214
239.7	75.79	6.95
254	75.66	4.812
269.1	75.54	2.77
285.1	75.44	0.7972
302	75.35	-1.131
320	75.26	-3.034
339	75.19	-4.933
359.2	75.12	-6.842
380.5	75.06	-8.778
403.2	75	-10.75
427.1	74.94	-12.78
452.5	74.88	-14.87
479.5	74.82	-17.04
508	74.75	-19.28
538.2	74.68	-21.61
570.2	74.59	-24.04
604.1	74.5	-26.57
640	74.38	-29.2
678.1	74.25	-31.94
718.4	74.1	-34.79
761.1	73.93	-37.74
806.3	73.72	-40.79
854.3	73.49	-43.93
905.1	73.21	-47.15
958.9	72.9	-50.43
1016	72.53	-53.74
1076	72.12	-57.05
1140	71.65	-60.31
1208	71.11	-63.45
1280	70.51	-66.4
1356	69.85	-69.03
1437	69.12	-71.23
1522	68.35	-72.86
1613	67.55	-73.77
1709	66.76	-73.87
1810	66.03	-73.19
1918	65.4	-71.92
2032	64.91	-70.45
2153	64.55	-69.21
2281	64.26	-68.54
2416	64	-68.56
2560	63.7	-69.12
2712	63.34	-69.93
2874	62.91	-70.65
3044	62.45	-71.05
3225	62	-71.12
3417	61.61	-71.13
3620	61.24	-71.39
3836	60.85	-71.97
4064	60.4	-72.56
4305	59.92	-72.77
4561	59.47	-72.56
4833	59.11	-72.44
5120	58.75	-72.85
5424	58.33	-73.5
5747	57.85	-73.75
6089	57.42	-73.6
6451	57.04	-73.71
6834	56.63	-74.13
7241	56.19	-74.34
7671	55.78	-74.49
8127	55.35	-74.81
8611	54.91	-74.89
9123	54.52	-75.09
9665	54.08	-75.57
10240	53.61	-75.56
10850	53.21	-75.68
11490	52.75	-76.05
12180	52.32	-75.95
12900	51.88	-76.65
13670	51.28	-75.89
14480	51.01	-75.61
15340	50.67	-74.23
16250	50.58	-79.52
17220	49.14	-75.46
18250	49.53	-76.6
19330	48.79	-76.69
20480	48.5	-76.68
