freq [Hz]	Electrical impedance	Electrical impedance phase
20	8.322	13.01
21.19	8.372	13.77
22.45	8.43	14.56
23.78	8.496	15.42
25.2	8.574	16.33
26.7	8.666	17.31
28.28	8.778	18.36
29.97	8.918	19.48
31.75	9.098	20.66
33.64	9.341	21.87
35.64	9.689	22.91
37.75	10.19	23.23
40	10.75	21.45
42.38	10.74	17.83
44.9	10.19	17.31
47.57	9.924	19.67
50.4	9.976	22.42
53.39	10.21	24.93
56.57	10.58	27.16
59.93	11.07	29.14
63.5	11.71	30.86
67.27	12.54	32.2
71.27	13.65	32.89
75.51	15.11	32.47
80	16.99	30.12
84.76	19.15	24.69
89.8	20.8	15.41
95.14	20.63	3.958
100.8	18.55	-5.427
106.8	15.96	-10.2
113.1	13.81	-10.92
119.9	12.29	-9.111
127	11.27	-6.004
134.5	10.62	-2.361
142.5	10.21	1.396
151	9.979	5.059
160	9.867	8.534
169.5	9.844	11.79
179.6	9.887	14.84
190.3	9.982	17.69
201.6	10.12	20.35
213.6	10.29	22.86
226.3	10.5	25.22
239.7	10.73	27.46
254	10.99	29.58
269.1	11.27	31.6
285.1	11.58	33.54
302	11.92	35.39
320	12.28	37.16
339	12.67	38.86
359.2	13.08	40.5
380.5	13.52	42.07
403.2	13.99	43.58
427.1	14.49	45.04
452.5	15.02	46.45
479.5	15.58	47.8
508	16.18	49.1
538.2	16.81	50.35
570.2	17.48	51.56
604.1	18.19	52.72
640	18.94	53.84
678.1	19.73	54.91
718.4	20.57	55.94
761.1	21.45	56.93
806.3	22.38	57.89
854.3	23.36	58.8
905.1	24.4	59.68
958.9	25.5	60.52
1016	26.65	61.33
1076	27.87	62.1
1140	29.15	62.84
1208	30.5	63.55
1280	31.92	64.23
1356	33.42	64.89
1437	35	65.51
1522	36.67	66.1
1613	38.42	66.67
1709	40.27	67.22
1810	42.21	67.74
1918	44.25	68.24
2032	46.41	68.71
2153	48.67	69.16
2281	51.05	69.6
2416	53.56	70.01
2560	56.2	70.4
2712	58.98	70.78
2874	61.9	71.14
3044	64.98	71.48
3225	68.21	71.81
3417	71.61	72.12
3620	75.19	72.41
3836	78.96	72.7
4064	82.92	72.97
4305	87.08	73.22
4561	91.46	73.47
4833	96.07	73.7
5120	100.9	73.92
5424	106	74.13
5747	111.4	74.33
6089	117	74.53
6451	122.9	74.71
6834	129.2	74.88
7241	135.7	75.05
7671	142.6	75.21
8127	149.9	75.36
8611	157.5	75.5
9123	165.5	75.64
9665	174	75.76
10240	182.9	75.89
10850	192.2	76.01
11490	202	76.12
12180	212.3	76.22
12900	223.2	76.32
13670	234.6	76.42
14480	246.6	76.51
15340	259.2	76.6
16250	272.4	76.68
17220	286.4	76.76
18250	301.1	76.84
19330	316.5	76.91
20480	332.7	76.98
