freq [Hz]	Max output level (MOL)
20	58.59
21.19	61.26
22.45	64.07
23.78	67.06
25.2	70.2
26.7	73.52
28.28	77.16
29.97	81.11
31.75	83.77
33.64	84.16
35.64	83.5
37.75	82.85
40	82.48
42.38	82.39
44.9	82.52
47.57	82.84
50.4	83.3
53.39	83.88
56.57	84.55
59.93	85.3
63.5	86.12
67.27	86.98
71.27	87.87
75.51	88.77
80	89.65
84.76	90.48
89.8	91.22
95.14	91.83
100.8	92.29
106.8	92.59
113.1	92.72
119.9	92.72
127	92.61
134.5	92.44
142.5	92.22
151	91.99
160	91.75
169.5	91.52
179.6	91.31
190.3	91.11
201.6	90.93
213.6	90.76
226.3	90.62
239.7	90.49
254	90.38
269.1	90.27
285.1	90.18
302	90.1
320	90.03
339	89.96
359.2	89.9
380.5	89.83
403.2	89.76
427.1	89.69
452.5	89.61
479.5	89.52
508	89.41
538.2	89.29
570.2	89.16
604.1	89
640	88.81
678.1	88.6
718.4	88.35
761.1	88.07
806.3	87.75
854.3	87.39
905.1	86.98
958.9	86.53
1016	86.02
1076	85.48
1140	84.9
1208	84.28
1280	83.65
1356	83.01
1437	82.38
1522	81.76
1613	81.16
1709	80.57
1810	79.98
1918	79.38
2032	78.78
2153	78.22
2281	77.75
2416	77.41
2560	77.17
2712	76.99
2874	76.77
3044	76.46
3225	76.05
3417	75.6
3620	75.16
3836	74.75
4064	74.3
4305	73.84
4561	73.44
4833	73.07
5120	72.65
5424	72.24
5747	71.83
6089	71.34
6451	70.93
6834	70.66
7241	70.09
7671	69.56
8127	69.32
8611	68.71
9123	68.35
9665	67.94
10240	67.44
10850	67.11
11490	66.61
12180	66.2
12900	65.85
13670	65.6
14480	64.3
15340	64.76
16250	64.32
17220	63.26
18250	63.21
19330	62.7
20480	62.43
