freq [Hz]	System response	System response phase
20	48.06	167.1
21.19	49.07	166.3
22.45	50.09	165.5
23.78	51.11	164.7
25.2	52.14	163.8
26.7	53.17	162.9
28.28	54.2	161.8
29.97	55.24	160.7
31.75	56.28	159.6
33.64	57.33	158.3
35.64	58.39	157
37.75	59.45	155.5
40	60.52	153.9
42.38	61.61	152.2
44.9	62.7	150.3
47.57	63.8	148.2
50.4	64.92	145.9
53.39	66.05	143.3
56.57	67.19	140.5
59.93	68.34	137.2
63.5	69.5	133.6
67.27	70.66	129.5
71.27	71.82	124.8
75.51	72.96	119.4
80	74.05	113.4
84.76	75.08	106.5
89.8	76	98.84
95.14	76.78	90.56
100.8	77.38	81.85
106.8	77.8	73.03
113.1	78.02	64.46
119.9	78.09	56.42
127	78.02	49.08
134.5	77.87	42.53
142.5	77.67	36.74
151	77.44	31.66
160	77.19	27.19
169.5	76.95	23.25
179.6	76.72	19.75
190.3	76.5	16.62
201.6	76.3	13.79
213.6	76.12	11.21
226.3	75.95	8.821
239.7	75.8	6.592
254	75.67	4.485
269.1	75.55	2.471
285.1	75.45	0.522
302	75.35	-1.384
320	75.27	-3.269
339	75.19	-5.15
359.2	75.13	-7.043
380.5	75.06	-8.965
403.2	75	-10.93
427.1	74.94	-12.94
452.5	74.88	-15.02
479.5	74.82	-17.18
508	74.75	-19.41
538.2	74.68	-21.74
570.2	74.6	-24.16
604.1	74.5	-26.68
640	74.39	-29.3
678.1	74.26	-32.04
718.4	74.11	-34.88
761.1	73.93	-37.82
806.3	73.73	-40.86
854.3	73.49	-44
905.1	73.22	-47.22
958.9	72.9	-50.49
1016	72.54	-53.8
1076	72.12	-57.11
1140	71.65	-60.36
1208	71.11	-63.5
1280	70.51	-66.44
1356	69.85	-69.07
1437	69.12	-71.27
1522	68.35	-72.89
1613	67.55	-73.8
1709	66.76	-73.9
1810	66.03	-73.22
1918	65.41	-71.95
2032	64.91	-70.48
2153	64.55	-69.24
2281	64.27	-68.58
2416	64.01	-68.59
2560	63.71	-69.15
2712	63.34	-69.96
2874	62.91	-70.67
3044	62.45	-71.06
3225	62.01	-71.13
3417	61.61	-71.15
3620	61.24	-71.41
3836	60.85	-71.98
4064	60.4	-72.57
4305	59.92	-72.78
4561	59.48	-72.58
4833	59.11	-72.46
5120	58.76	-72.86
5424	58.33	-73.51
5747	57.85	-73.76
6089	57.42	-73.61
6451	57.04	-73.71
6834	56.63	-74.13
7241	56.19	-74.35
7671	55.78	-74.5
8127	55.35	-74.81
8611	54.92	-74.9
9123	54.52	-75.1
9665	54.08	-75.57
10240	53.61	-75.56
10850	53.21	-75.68
11490	52.75	-76.06
12180	52.32	-75.95
12900	51.88	-76.69
13670	51.28	-75.82
14480	51.02	-75.7
15340	50.65	-74.17
16250	50.6	-79.54
17220	49.13	-75.45
18250	49.53	-76.61
19330	48.79	-76.69
20480	48.5	-76.69
