freq [Hz]	System response	System response phase
20	44.63	-35.88
21.19	47.29	-37.79
22.45	50.08	-40.31
23.78	53.04	-43.71
25.2	56.22	-48.46
26.7	59.68	-55.47
28.28	63.43	-66.54
29.97	67.24	-84.91
31.75	70.11	-113
33.64	70.8	-142.9
35.64	70.17	-163.9
37.75	69.46	-176.9
40	69.04	174.5
42.38	68.9	168.3
44.9	69	163.3
47.57	69.3	159
50.4	69.74	155
53.39	70.31	151.2
56.57	70.98	147.3
59.93	71.72	143.2
63.5	72.54	138.9
67.27	73.4	134.1
71.27	74.28	128.9
75.51	75.18	123
80	76.05	116.5
84.76	76.87	109.3
89.8	77.6	101.5
95.14	78.2	93.14
100.8	78.65	84.54
106.8	78.93	75.98
113.1	79.06	67.75
119.9	79.06	60.07
127	78.97	53.08
134.5	78.81	46.8
142.5	78.61	41.22
151	78.4	36.25
160	78.19	31.83
169.5	77.98	27.86
179.6	77.79	24.27
190.3	77.62	20.98
201.6	77.46	17.94
213.6	77.33	15.09
226.3	77.2	12.38
239.7	77.1	9.79
254	77	7.273
269.1	76.92	4.804
285.1	76.85	2.36
302	76.78	-0.08094
320	76.72	-2.536
339	76.65	-5.022
359.2	76.59	-7.551
380.5	76.53	-10.13
403.2	76.46	-12.78
427.1	76.37	-15.5
452.5	76.28	-18.3
479.5	76.18	-21.18
508	76.05	-24.14
538.2	75.91	-27.19
570.2	75.74	-30.32
604.1	75.54	-33.52
640	75.31	-36.78
678.1	75.05	-40.09
718.4	74.74	-43.43
761.1	74.4	-46.78
806.3	74	-50.08
854.3	73.56	-53.31
905.1	73.07	-56.41
958.9	72.53	-59.32
1016	71.94	-61.97
1076	71.31	-64.3
1140	70.65	-66.26
1208	69.98	-67.81
1280	69.3	-68.96
1356	68.64	-69.76
1437	67.98	-70.27
1522	67.35	-70.56
1613	66.72	-70.65
1709	66.08	-70.44
1810	65.46	-69.81
1918	64.87	-68.59
2032	64.38	-66.83
2153	64.04	-64.87
2281	63.86	-63.34
2416	63.79	-62.85
2560	63.72	-63.6
2712	63.53	-65.28
2874	63.17	-67.21
3044	62.69	-68.67
3225	62.18	-69.36
3417	61.71	-69.64
3620	61.29	-70.01
3836	60.84	-70.39
4064	60.4	-70.44
4305	60.04	-70.53
4561	59.68	-71.21
4833	59.22	-72.02
5120	58.73	-72.28
5424	58.3	-72.15
5747	57.94	-72.34
6089	57.53	-73.25
6451	56.97	-73.54
6834	56.59	-72.86
7241	56.25	-73.98
7671	55.62	-73.71
8127	55.45	-73.23
8611	54.88	-75.07
9123	54.48	-73.48
9665	54.14	-75.54
10240	53.53	-74.51
10850	53.23	-75.44
11490	52.68	-74.86
12180	52.34	-75.41
12900	51.85	-75.41
13670	51.5	-73.98
14480	51.22	-78.32
15340	50.06	-76.21
16250	50.9	-73.14
17220	49.37	-78.21
18250	49.34	-74.33
19330	48.85	-76.93
20480	48.49	-75.81
