freq [Hz]	Vent response	Vent response phase
20	51.17	-19.24
21.19	52.49	-20.67
22.45	53.85	-22.28
23.78	55.27	-24.1
25.2	56.76	-26.21
26.7	58.34	-28.68
28.28	60.03	-31.63
29.97	61.86	-35.28
31.75	63.85	-39.94
33.64	66.05	-46.18
35.64	68.48	-55.02
37.75	71.1	-68.32
40	73.54	-88.69
42.38	74.82	-116.1
44.9	74.36	-142.5
47.57	73	-161.6
50.4	71.59	-174.5
53.39	70.39	176.3
56.57	69.43	169
59.93	68.67	162.8
63.5	68.08	157.1
67.27	67.62	151.4
71.27	67.25	145.7
75.51	66.95	139.6
80	66.68	133.1
84.76	66.39	125.9
89.8	66.06	118.2
95.14	65.63	109.9
100.8	65.07	101.3
106.8	64.34	92.64
113.1	63.44	84.31
119.9	62.41	76.59
127	61.26	69.69
134.5	60.04	63.69
142.5	58.79	58.59
151	57.52	54.33
160	56.27	50.83
169.5	55.03	48.01
179.6	53.83	45.77
190.3	52.67	44.05
201.6	51.55	42.79
213.6	50.47	41.94
226.3	49.45	41.43
239.7	48.48	41.24
254	47.57	41.32
269.1	46.71	41.63
285.1	45.91	42.12
302	45.18	42.76
320	44.51	43.49
339	43.9	44.28
359.2	43.36	45.07
380.5	42.88	45.82
403.2	42.46	46.49
427.1	42.09	47.03
452.5	41.76	47.43
479.5	41.48	47.67
508	41.22	47.73
538.2	41	47.61
570.2	40.79	47.33
604.1	40.59	46.9
640	40.39	46.35
678.1	40.2	45.73
718.4	40	45.06
761.1	39.8	44.4
806.3	39.59	43.78
854.3	39.38	43.25
905.1	39.18	42.82
958.9	38.99	42.48
1016	38.83	42.18
1076	38.7	41.83
1140	38.6	41.3
1208	38.52	40.45
1280	38.44	39.16
1356	38.32	37.37
1437	38.15	35.08
1522	37.87	32.42
1613	37.46	29.59
1709	36.91	26.92
1810	36.22	24.81
1918	35.44	23.65
2032	34.67	23.63
2153	34.01	24.41
2281	33.5	25.16
2416	33.08	25.05
2560	32.58	23.94
2712	31.89	22.61
2874	31.04	22.29
3044	30.23	23.68
3225	29.72	25.68
3417	29.43	26.17
3620	29.04	24.65
3836	28.39	22.73
4064	27.62	21.9
4305	26.95	21.49
4561	26.26	20.25
4833	25.4	19.18
5120	24.56	19.22
5424	23.8	19.02
5747	22.98	19.03
6089	22.35	19.11
6451	21.57	16.85
6834	20.4	17.25
7241	19.8	18.19
7671	18.68	17.51
8127	18.27	22.23
8611	18.09	18.05
9123	17.36	16.3
9665	16.4	9.289
10240	14.79	9.943
10850	13.2	9.475
11490	12.94	15.09
12180	11.92	12.67
12900	11.07	8.649
13670	9.591	11.92
14480	8.724	14.27
15340	8.202	13.8
16250	7.235	13.65
17220	6.311	13.28
18250	4.944	12.62
19330	4.143	14.68
20480	3.448	18.89
