freq [Hz]	Vent velocity at MOL
20	2.172
21.19	2.488
22.45	2.895
23.78	3.437
25.2	4.154
26.7	5.123
28.28	6.554
29.97	8.685
31.75	9.92
33.64	8.734
35.64	6.805
37.75	5.307
40	4.274
42.38	3.553
44.9	3.032
47.57	2.641
50.4	2.339
53.39	2.099
56.57	1.904
59.93	1.743
63.5	1.606
67.27	1.488
71.27	1.383
75.51	1.286
80	1.193
84.76	1.1
89.8	1.004
95.14	0.9031
100.8	0.7978
106.8	0.6913
113.1	0.5881
119.9	0.4925
127	0.4077
134.5	0.3349
142.5	0.274
151	0.2238
160	0.1829
169.5	0.1498
179.6	0.1231
190.3	0.1016
201.6	0.08423
213.6	0.07018
226.3	0.0588
239.7	0.04956
254	0.04203
269.1	0.03588
285.1	0.03083
302	0.02667
320	0.02322
339	0.02036
359.2	0.01795
380.5	0.01593
403.2	0.01422
427.1	0.01275
452.5	0.01149
479.5	0.0104
508	0.009441
538.2	0.008601
570.2	0.007856
604.1	0.007192
640	0.006596
678.1	0.006057
718.4	0.005567
761.1	0.00512
806.3	0.00471
854.3	0.004332
905.1	0.003983
958.9	0.003659
1016	0.003358
1076	0.003077
1140	0.002816
1208	0.002573
1280	0.002345
1356	0.002133
1437	0.001936
1522	0.001753
1613	0.001583
1709	0.001426
1810	0.001281
1918	0.001147
2032	0.001025
2153	9.128E-4
2281	0.000811
2416	7.187E-4
2560	6.352E-4
2712	5.601E-4
2874	4.927E-4
3044	4.324E-4
3225	3.786E-4
3417	3.309E-4
3620	2.886E-4
3836	2.512E-4
4064	2.183E-4
4305	1.894E-4
4561	1.641E-4
4833	1.419E-4
5120	1.225E-4
5424	1.057E-4
5747	9.103E-5
6089	7.831E-5
6451	6.729E-5
6834	5.776E-5
7241	4.953E-5
7671	4.242E-5
8127	3.631E-5
8611	3.105E-5
9123	2.653E-5
9665	2.265E-5
10240	1.933E-5
10850	1.648E-5
11490	1.404E-5
12180	1.196E-5
12900	1.018E-5
13670	8.665E-6
14480	7.371E-6
15340	6.267E-6
16250	5.327E-6
17220	4.526E-6
18250	3.845E-6
19330	3.265E-6
20480	2.772E-6
