Impulse reponse
Numpoints = 65536
SamplingRate = 48000 Hz
Time(s)       Amplitude(V)
0.000000E+00   6.366013E-06
2.083333E-05   5.063341E-06
4.166667E-05   7.435147E-06
6.250000E-05   5.342637E-06
8.333333E-05   4.275565E-06
1.041667E-04   3.062184E-06
1.250000E-04   4.185185E-06
1.458333E-04   4.962833E-06
1.666667E-04   5.642407E-06
1.875000E-04   3.643671E-06
2.083333E-04   4.522917E-06
2.291667E-04   5.718974E-06
2.500000E-04   7.990535E-06
2.708333E-04   4.472609E-06
2.916667E-04   4.873150E-06
3.125000E-04   6.497837E-06
3.333333E-04   4.163298E-06
3.541667E-04   4.919829E-06
3.750000E-04   1.758716E-06
3.958333E-04   1.837693E-06
4.166667E-04   3.059202E-06
4.375000E-04   5.735998E-06
4.583333E-04   2.416256E-06
4.791667E-04   6.849311E-06
5.000000E-04   5.845728E-06
5.208333E-04   6.087751E-06
5.416667E-04   6.516004E-06
5.625000E-04   8.352037E-06
5.833333E-04   5.236999E-06
6.041667E-04   6.095646E-06
6.250000E-04   9.546378E-06
6.458333E-04   7.828583E-06
6.666667E-04   9.789323E-06
6.875000E-04   9.442567E-06
7.083333E-04   8.595727E-06
7.291667E-04   8.359604E-06
7.500000E-04   9.946431E-06
7.708333E-04   7.398675E-06
7.916667E-04   9.341220E-06
8.125000E-04   7.100074E-06
8.333333E-04   4.889110E-06
8.541667E-04   5.060579E-06
8.750000E-04   7.346127E-06
8.958333E-04   7.616819E-06
9.166667E-04   7.397855E-06
9.375000E-04   7.342385E-06
9.583333E-04   7.336465E-06
9.791667E-04   6.783857E-06
1.000000E-03   8.090526E-06
1.020833E-03   9.613227E-06
1.041667E-03   6.106970E-06
1.062500E-03   5.065407E-06
1.083333E-03   6.143986E-06
1.104167E-03   6.059641E-06
1.125000E-03   6.550896E-06
1.145833E-03   7.736393E-06
1.166667E-03   5.629587E-06
1.187500E-03   5.622778E-06
1.208333E-03   7.821817E-06
1.229167E-03   9.271637E-06
1.250000E-03   9.838896E-06
1.270833E-03   8.541303E-06
1.291667E-03   8.635997E-06
1.312500E-03   9.241448E-06
1.333333E-03   8.845951E-06
1.354167E-03   7.494715E-06
1.375000E-03   4.944084E-06
1.395833E-03   6.543454E-06
1.416667E-03   3.518911E-06
1.437500E-03   6.684409E-06
1.458333E-03   7.178036E-06
1.479167E-03   6.786872E-06
1.500000E-03   7.018355E-06
1.520833E-03   5.792058E-06
1.541667E-03   9.540730E-06
1.562500E-03   4.114172E-06
1.583333E-03   6.366429E-06
1.604167E-03   8.843455E-06
1.625000E-03   5.777580E-06
1.645833E-03   4.802344E-06
1.666667E-03   4.434375E-06
1.687500E-03   3.263873E-06
1.708333E-03   6.427263E-06
1.729167E-03   3.520079E-06
1.750000E-03   2.720920E-06
1.770833E-03   4.084296E-06
1.791667E-03   2.159430E-06
1.812500E-03   5.572282E-06
1.833333E-03   7.296302E-06
1.854167E-03   6.209635E-06
1.875000E-03   4.831984E-06
1.895833E-03   5.472262E-06
1.916667E-03   4.127423E-06
1.937500E-03   4.898600E-06
1.958333E-03   4.677485E-06
1.979167E-03   5.551457E-06
2.000000E-03   4.146739E-06
2.020833E-03   4.182223E-06
2.041667E-03   3.542027E-06
2.062500E-03   6.093691E-06
2.083333E-03   6.038484E-06
2.104167E-03   5.259581E-06
2.125000E-03   5.348106E-06
2.145833E-03   6.086930E-06
2.166667E-03   3.241288E-06
2.187500E-03   2.558969E-06
2.208333E-03   4.379783E-06
2.229167E-03   2.897689E-06
2.250000E-03   5.726779E-07
2.270833E-03   6.535840E-06
2.291667E-03   5.799306E-06
2.312500E-03   3.560119E-06
2.333333E-03   7.421010E-06
2.354167E-03   3.799938E-06
2.375000E-03   4.308479E-06
2.395833E-03   4.263733E-06
2.416667E-03   4.197535E-06
2.437500E-03   1.946124E-06
2.458333E-03   1.511336E-06
2.479167E-03   2.873937E-06
2.500000E-03   1.770705E-06
2.520833E-03   1.730666E-06
2.541667E-03   7.165767E-06
2.562500E-03   5.691779E-06
2.583333E-03   9.534928E-06
2.604167E-03   9.057132E-06
2.625000E-03   1.081955E-05
2.645833E-03   9.904866E-06
2.666667E-03   9.136416E-06
2.687500E-03   7.357328E-06
2.708333E-03   5.160081E-06
2.729167E-03   7.280748E-06
2.750000E-03   4.299124E-06
2.770833E-03   3.880190E-06
2.791667E-03   1.946984E-06
2.812500E-03   2.655679E-06
2.833333E-03   6.935636E-06
2.854167E-03   3.456004E-06
2.875000E-03   5.125064E-06
2.895833E-03   5.579653E-06
2.916667E-03   5.769338E-06
2.937500E-03   8.303046E-06
2.958333E-03   5.601352E-06
2.979167E-03   4.641088E-06
3.000000E-03   1.741774E-06
3.020833E-03   1.190040E-06
3.041667E-03   7.424105E-07
3.062500E-03   8.346678E-07
3.083333E-03   2.243956E-06
3.104167E-03   -1.083050E-06
3.125000E-03   1.150757E-06
