Impulse reponse
Numpoints = 65536
SamplingRate = 48000 Hz
Time(s)       Amplitude(V)
0.000000E+00   -8.736120E-06
2.083333E-05   -7.735593E-06
4.166667E-05   -1.630641E-05
6.250000E-05   -1.902122E-05
8.333333E-05   -2.722400E-05
1.041667E-04   -2.890100E-05
1.250000E-04   -3.627389E-05
1.458333E-04   -3.868572E-05
1.666667E-04   -4.920695E-05
1.875000E-04   -4.760153E-05
2.083333E-04   -5.342662E-05
2.291667E-04   -4.786118E-05
2.500000E-04   -4.860338E-05
2.708333E-04   -4.246011E-05
2.916667E-04   -5.203335E-05
3.125000E-04   -5.021317E-05
3.333333E-04   -5.299200E-05
3.541667E-04   -5.180129E-05
3.750000E-04   -6.069424E-05
3.958333E-04   -6.101936E-05
4.166667E-04   -6.694864E-05
4.375000E-04   -6.891782E-05
4.583333E-04   -7.671451E-05
4.791667E-04   -7.125470E-05
5.000000E-04   -7.537031E-05
5.208333E-04   -6.954913E-05
5.416667E-04   -6.906984E-05
5.625000E-04   -6.219364E-05
5.833333E-04   -5.968333E-05
6.041667E-04   -4.930695E-05
6.250000E-04   -4.610838E-05
6.458333E-04   -4.091517E-05
6.666667E-04   -4.361953E-05
6.875000E-04   -3.540934E-05
7.083333E-04   -3.771396E-05
7.291667E-04   -3.337127E-05
7.500000E-04   -3.963303E-05
7.708333E-04   -3.058307E-05
7.916667E-04   -3.372315E-05
8.125000E-04   -2.924285E-05
8.333333E-04   -2.848948E-05
8.541667E-04   -2.012856E-05
8.750000E-04   -2.018569E-05
8.958333E-04   -1.231314E-05
9.166667E-04   -1.131231E-05
9.375000E-04   -7.207331E-06
9.583333E-04   -1.206885E-05
9.791667E-04   -5.620996E-06
1.000000E-03   -1.427274E-05
1.020833E-03   -1.516435E-05
1.041667E-03   -2.379263E-05
1.062500E-03   -2.530306E-05
1.083333E-03   -3.464619E-05
1.104167E-03   -3.499397E-05
1.125000E-03   -4.075240E-05
1.145833E-03   -3.522738E-05
1.166667E-03   -3.980770E-05
1.187500E-03   -3.353251E-05
1.208333E-03   -3.758363E-05
1.229167E-03   -2.941583E-05
1.250000E-03   -3.167056E-05
1.270833E-03   -2.603553E-05
1.291667E-03   -3.193867E-05
1.312500E-03   -2.739297E-05
1.333333E-03   -3.398751E-05
1.354167E-03   -3.499070E-05
1.375000E-03   -4.284289E-05
1.395833E-03   -4.282518E-05
1.416667E-03   -4.917403E-05
1.437500E-03   -4.504299E-05
1.458333E-03   -5.327834E-05
1.479167E-03   -4.586280E-05
1.500000E-03   -4.158312E-05
1.520833E-03   -3.223888E-05
1.541667E-03   -2.746922E-05
1.562500E-03   -1.738663E-05
1.583333E-03   -1.269846E-05
1.604167E-03   -4.216621E-06
1.625000E-03   -4.199668E-06
1.645833E-03   -3.839566E-06
1.666667E-03   -6.207971E-06
1.687500E-03   -7.658346E-06
1.708333E-03   -1.400035E-05
1.729167E-03   -1.996954E-05
1.750000E-03   -2.464218E-05
1.770833E-03   -2.613671E-05
1.791667E-03   -2.688752E-05
1.812500E-03   -2.579929E-05
1.833333E-03   -2.240384E-05
1.854167E-03   -1.178687E-05
1.875000E-03   -4.297895E-06
1.895833E-03   3.490131E-07
1.916667E-03   1.718223E-06
1.937500E-03   3.051635E-06
1.958333E-03   -4.488582E-06
1.979167E-03   -8.306587E-06
2.000000E-03   -1.504173E-05
2.020833E-03   -2.507334E-05
2.041667E-03   -3.035079E-05
2.062500E-03   -3.343183E-05
2.083333E-03   -3.827631E-05
2.104167E-03   -3.830526E-05
2.125000E-03   -4.072812E-05
2.145833E-03   -3.585975E-05
2.166667E-03   -2.710757E-05
2.187500E-03   -1.367830E-05
