Impulse reponse
Numpoints = 65536
SamplingRate = 48000 Hz
Time(s)       Amplitude(V)
0.000000E+00   -8.041588E-07
2.083333E-05   -7.981645E-06
4.166667E-05   -1.351845E-05
6.250000E-05   -2.016037E-05
8.333333E-05   -2.941712E-05
1.041667E-04   -3.279709E-05
1.250000E-04   -3.516905E-05
1.458333E-04   -3.432586E-05
1.666667E-04   -3.113543E-05
1.875000E-04   -3.226184E-05
2.083333E-04   -3.116818E-05
2.291667E-04   -2.885328E-05
2.500000E-04   -2.478420E-05
2.708333E-04   -2.557165E-05
2.916667E-04   -2.565819E-05
3.125000E-04   -2.399053E-05
3.333333E-04   -2.427163E-05
3.541667E-04   -2.094222E-05
3.750000E-04   -2.006621E-05
3.958333E-04   -1.787245E-05
4.166667E-04   -1.659712E-05
4.375000E-04   -1.288804E-05
4.583333E-04   -1.002061E-05
4.791667E-04   -3.962152E-06
5.000000E-04   7.743620E-08
5.208333E-04   7.051685E-06
5.416667E-04   6.172526E-06
5.625000E-04   1.084760E-05
5.833333E-04   1.310102E-05
6.041667E-04   1.355314E-05
6.250000E-04   1.835221E-05
6.458333E-04   1.758426E-05
6.666667E-04   1.878668E-05
6.875000E-04   2.407736E-05
7.083333E-04   2.683026E-05
7.291667E-04   2.502590E-05
7.500000E-04   2.865168E-05
7.708333E-04   3.043199E-05
7.916667E-04   3.270444E-05
8.125000E-04   3.258553E-05
8.333333E-04   3.146871E-05
8.541667E-04   3.328718E-05
8.750000E-04   3.307978E-05
8.958333E-04   2.874215E-05
9.166667E-04   2.509627E-05
9.375000E-04   1.839795E-05
9.583333E-04   1.208959E-05
9.791667E-04   2.358734E-06
1.000000E-03   -7.251057E-06
1.020833E-03   -1.021140E-05
1.041667E-03   -1.398941E-05
1.062500E-03   -2.055358E-05
1.083333E-03   -2.337262E-05
1.104167E-03   -1.934454E-05
1.125000E-03   -2.186685E-05
1.145833E-03   -1.978480E-05
1.166667E-03   -9.418026E-06
1.187500E-03   -4.402045E-06
1.208333E-03   -1.694950E-06
1.229167E-03   4.737673E-06
1.250000E-03   9.583896E-06
1.270833E-03   7.178755E-06
1.291667E-03   8.233873E-06
1.312500E-03   5.061755E-06
1.333333E-03   3.287840E-06
1.354167E-03   3.524684E-06
1.375000E-03   -6.329017E-06
1.395833E-03   -3.640348E-07
1.416667E-03   -3.607420E-08
1.437500E-03   4.343424E-06
1.458333E-03   1.125522E-05
1.479167E-03   1.480727E-05
1.500000E-03   1.584113E-05
1.520833E-03   2.013765E-05
1.541667E-03   2.732757E-05
1.562500E-03   2.618527E-05
1.583333E-03   2.095612E-05
1.604167E-03   2.223387E-05
1.625000E-03   1.952775E-05
1.645833E-03   1.792288E-05
1.666667E-03   1.719310E-05
1.687500E-03   1.699049E-05
1.708333E-03   1.614819E-05
1.729167E-03   1.659422E-05
1.750000E-03   1.903292E-05
1.770833E-03   1.982015E-05
1.791667E-03   1.728315E-05
1.812500E-03   1.808556E-05
1.833333E-03   1.434371E-05
1.854167E-03   8.514988E-06
1.875000E-03   -1.168635E-06
1.895833E-03   -7.457980E-06
1.916667E-03   -1.578703E-05
1.937500E-03   -1.999378E-05
1.958333E-03   -2.577336E-05
1.979167E-03   -2.748392E-05
2.000000E-03   -2.957766E-05
2.020833E-03   -2.498794E-05
2.041667E-03   -2.364979E-05
2.062500E-03   -1.583841E-05
2.083333E-03   -7.866930E-06
2.104167E-03   7.515036E-07
2.125000E-03   6.906223E-06
2.145833E-03   1.451001E-05
2.166667E-03   1.898110E-05
2.187500E-03   2.589769E-05
2.208333E-03   2.387077E-05
2.229167E-03   2.965811E-05
2.250000E-03   2.215144E-05
2.270833E-03   2.359127E-05
2.291667E-03   1.825918E-05
2.312500E-03   1.485022E-05
2.333333E-03   1.552549E-05
2.354167E-03   2.174215E-05
2.375000E-03   3.368130E-05
2.395833E-03   4.709127E-05
2.416667E-03   6.010005E-05
2.437500E-03   7.382604E-05
2.458333E-03   8.684565E-05
2.479167E-03   9.863843E-05
2.500000E-03   9.863955E-05
2.520833E-03   9.781095E-05
2.541667E-03   9.024007E-05
2.562500E-03   8.216281E-05
2.583333E-03   6.895252E-05
2.604167E-03   5.461162E-05
2.625000E-03   4.257797E-05
2.645833E-03   3.332248E-05
2.666667E-03   3.306504E-05
2.687500E-03   4.431730E-05
2.708333E-03   5.285623E-05
2.729167E-03   6.959579E-05
2.750000E-03   8.077762E-05
2.770833E-03   9.034667E-05
2.791667E-03   9.410612E-05
2.812500E-03   9.095970E-05
2.833333E-03   8.321580E-05
2.854167E-03   6.491128E-05
2.875000E-03   3.890428E-05
2.895833E-03   1.663681E-05
2.916667E-03   -1.437548E-05
2.937500E-03   -4.169383E-05
2.958333E-03   -6.260027E-05
2.979167E-03   -7.143377E-05
3.000000E-03   -7.070463E-05
3.020833E-03   -6.131607E-05
3.041667E-03   -4.887654E-05
3.062500E-03   -2.945328E-05
3.083333E-03   -1.352630E-05
3.104167E-03   2.525177E-06
3.125000E-03   1.601659E-05
3.145833E-03   2.550170E-05
3.166667E-03   2.840350E-05
3.187500E-03   2.502728E-05
3.208333E-03   1.828637E-05
3.229167E-03   5.081503E-06
3.250000E-03   -5.366161E-06
3.270833E-03   -1.394893E-05
3.291667E-03   -2.319642E-05
3.312500E-03   -1.723273E-05
3.333333E-03   -1.663746E-05
3.354167E-03   -9.102629E-06
3.375000E-03   -1.467693E-06
3.395833E-03   4.523283E-06
3.416667E-03   2.225376E-05
3.437500E-03   3.626084E-05
3.458333E-03   4.749641E-05
3.479167E-03   5.380680E-05
3.500000E-03   5.149929E-05
3.520833E-03   5.005779E-05
3.541667E-03   3.669023E-05
3.562500E-03   2.929298E-05
3.583333E-03   1.087188E-05
3.604167E-03   -9.837367E-06
3.625000E-03   -2.890551E-05
3.645833E-03   -4.900304E-05
3.666667E-03   -6.335630E-05
3.687500E-03   -7.353943E-05
3.708333E-03   -8.146915E-05
3.729167E-03   -7.537805E-05
3.750000E-03   -6.254558E-05
3.770833E-03   -5.085088E-05
3.791667E-03   -3.219998E-05
3.812500E-03   -1.050318E-05
3.833333E-03   2.097095E-06
3.854167E-03   7.047817E-06
3.875000E-03   1.156160E-05
3.895833E-03   1.158774E-06
3.916667E-03   -9.903235E-06
3.937500E-03   -2.150198E-05
3.958333E-03   -4.416423E-05
3.979167E-03   -5.824584E-05
4.000000E-03   -7.331592E-05
4.020833E-03   -8.385657E-05
4.041667E-03   -7.440321E-05
4.062500E-03   -5.891035E-05
4.083333E-03   -3.845982E-05
4.104167E-03   5.029651E-07
4.125000E-03   3.610456E-05
4.145833E-03   6.953253E-05
4.166667E-03   1.057725E-04
4.187500E-03   1.389514E-04
4.208333E-03   1.664761E-04
4.229167E-03   1.849156E-04
4.250000E-03   1.840888E-04
4.270833E-03   1.701599E-04
4.291667E-03   1.456050E-04
4.312500E-03   1.194086E-04
4.333333E-03   9.422877E-05
4.354167E-03   8.344192E-05
4.375000E-03   6.940604E-05
4.395833E-03   6.011962E-05
4.416667E-03   6.526044E-05
4.437500E-03   7.690438E-05
4.458333E-03   1.060444E-04
4.479167E-03   1.332405E-04
4.500000E-03   1.465160E-04
4.520833E-03   1.638942E-04
4.541667E-03   1.596510E-04
4.562500E-03   1.372497E-04
4.583333E-03   9.970115E-05
4.604167E-03   4.926423E-05
4.625000E-03   -1.419023E-05
4.645833E-03   -7.411415E-05
4.666667E-03   -1.355863E-04
4.687500E-03   -1.927567E-04
4.708333E-03   -2.156503E-04
4.729167E-03   -2.226944E-04
4.750000E-03   -2.112003E-04
4.770833E-03   -1.730315E-04
4.791667E-03   -1.324819E-04
4.812500E-03   -7.524557E-05
4.833333E-03   -1.311229E-05
4.854167E-03   2.377533E-05
4.875000E-03   5.190517E-05
4.895833E-03   5.317273E-05
4.916667E-03   2.567943E-05
4.937500E-03   -1.370331E-05
4.958333E-03   -7.655468E-05
4.979167E-03   -1.466135E-04
5.000000E-03   -1.994682E-04
5.020833E-03   -2.484548E-04
5.041667E-03   -2.749754E-04
5.062500E-03   -2.603484E-04
5.083333E-03   -2.102252E-04
5.104167E-03   -1.219270E-04
5.125000E-03   -1.084051E-05
5.145833E-03   9.997349E-05
5.166667E-03   1.972598E-04
5.187500E-03   2.880847E-04
5.208333E-03   3.493956E-04
5.229167E-03   3.458890E-04
5.250000E-03   3.106817E-04
5.270833E-03   2.275369E-04
5.291667E-03   1.148730E-04
5.312500E-03   7.563016E-06
5.333333E-03   -1.230332E-04
5.354167E-03   -2.057543E-04
5.375000E-03   -2.471629E-04
5.395833E-03   -2.575383E-04
5.416667E-03   -2.191470E-04
5.437500E-03   -1.494323E-04
5.458333E-03   -5.129343E-05
5.479167E-03   6.775557E-05
5.500000E-03   1.574719E-04
5.520833E-03   2.140109E-04
5.541667E-03   2.323608E-04
5.562500E-03   2.156196E-04
5.583333E-03   1.543759E-04
5.604167E-03   5.090591E-05
5.625000E-03   -7.242276E-05
5.645833E-03   -2.193139E-04
5.666667E-03   -3.191606E-04
5.687500E-03   -3.907529E-04
5.708333E-03   -4.381116E-04
5.729167E-03   -4.302315E-04
5.750000E-03   -4.246670E-04
5.770833E-03   -3.547750E-04
5.791667E-03   -2.665247E-04
5.812500E-03   -1.845145E-04
5.833333E-03   -4.969812E-05
5.854167E-03   4.041973E-05
5.875000E-03   1.209040E-04
5.895833E-03   1.538596E-04
5.916667E-03   7.805166E-05
5.937500E-03   1.053745E-05
5.958333E-03   -2.244363E-04
5.979167E-03   -2.443720E-04
6.000000E-03   -4.243336E-04
6.020833E-03   -4.517982E-04
6.041667E-03   -6.113489E-04
6.062500E-03   -7.367753E-04
6.083333E-03   -1.172086E-03
6.104167E-03   -2.353162E-03
6.125000E-03   -5.326818E-03
6.145833E-03   -8.489971E-03
6.166667E-03   -1.380466E-02
6.187500E-03   -1.338970E-02
6.208333E-03   -9.156855E-03
6.229167E-03   1.699820E-02
6.250000E-03   8.860527E-02
6.270833E-03   1.949090E-01
6.291667E-03   3.531755E-01
6.312500E-03   3.940451E-01
6.333333E-03   3.959834E-01
6.354167E-03   3.909070E-01
6.375000E-03   3.833315E-01
6.395833E-03   3.739785E-01
6.416667E-03   2.135465E-01
6.437500E-03   9.451707E-02
6.458333E-03   2.556130E-02
6.479167E-03   -3.858717E-02
6.500000E-03   -6.804238E-02
6.520833E-03   -2.415992E-02
6.541667E-03   2.155938E-03
6.562500E-03   2.840881E-02
6.583333E-03   1.092270E-01
6.604167E-03   1.524541E-01
6.625000E-03   1.270053E-01
6.645833E-03   1.515377E-01
6.666667E-03   1.906878E-01
6.687500E-03   1.712938E-01
6.708333E-03   8.935490E-02
6.729167E-03   4.414801E-02
6.750000E-03   -1.768115E-02
6.770833E-03   -7.492192E-02
6.791667E-03   -7.756782E-02
6.812500E-03   -1.089575E-01
6.833333E-03   -1.824374E-01
6.854167E-03   -2.100281E-01
6.875000E-03   -1.860249E-01
6.895833E-03   -1.747853E-01
6.916667E-03   -1.672441E-01
6.937500E-03   -1.567810E-01
6.958333E-03   -4.700667E-02
6.979167E-03   2.268863E-02
7.000000E-03   6.709214E-02
7.020833E-03   7.992069E-02
7.041667E-03   6.400167E-02
