Impulse reponse
Numpoints = 65536
SamplingRate = 48000 Hz
Time(s)       Amplitude(V)
0.000000E+00   -1.744787E-05
2.083333E-05   -1.245435E-05
4.166667E-05   -1.561484E-05
6.250000E-05   -1.114905E-05
8.333333E-05   -1.044609E-05
1.041667E-04   -1.206178E-05
1.250000E-04   -9.136759E-06
1.458333E-04   -5.145901E-06
1.666667E-04   -3.752642E-06
1.875000E-04   -6.392534E-06
2.083333E-04   -6.216538E-06
2.291667E-04   -1.646029E-06
2.500000E-04   -2.467645E-06
2.708333E-04   -2.604667E-06
2.916667E-04   -5.312804E-06
3.125000E-04   -3.629189E-06
3.333333E-04   -2.590123E-06
3.541667E-04   2.444385E-07
3.750000E-04   6.463233E-08
3.958333E-04   4.249634E-06
4.166667E-04   2.780062E-06
4.375000E-04   2.305404E-06
4.583333E-04   4.416854E-06
4.791667E-04   7.322771E-06
5.000000E-04   4.480312E-06
5.208333E-04   7.095788E-06
5.416667E-04   5.771743E-06
5.625000E-04   7.627147E-06
5.833333E-04   8.302016E-06
6.041667E-04   6.493059E-06
6.250000E-04   6.777577E-06
6.458333E-04   3.922371E-06
6.666667E-04   5.882484E-06
6.875000E-04   2.345269E-06
7.083333E-04   -7.551789E-07
7.291667E-04   1.670518E-06
7.500000E-04   -5.482580E-07
7.708333E-04   3.550842E-06
7.916667E-04   -6.532555E-07
8.125000E-04   9.818214E-07
8.333333E-04   1.916206E-06
8.541667E-04   2.467038E-06
8.750000E-04   4.249510E-06
8.958333E-04   2.184495E-06
9.166667E-04   2.002759E-06
9.375000E-04   2.213938E-06
9.583333E-04   6.151095E-08
9.791667E-04   4.909599E-06
1.000000E-03   2.610354E-06
1.020833E-03   7.594540E-06
1.041667E-03   6.009378E-06
1.062500E-03   7.127751E-06
1.083333E-03   8.695019E-06
1.104167E-03   6.706940E-06
1.125000E-03   9.789781E-06
1.145833E-03   7.351077E-06
1.166667E-03   4.012631E-06
1.187500E-03   5.015359E-06
1.208333E-03   1.130949E-06
1.229167E-03   1.213542E-06
1.250000E-03   -2.057634E-06
1.270833E-03   1.473877E-06
1.291667E-03   2.290344E-07
1.312500E-03   -2.089335E-06
1.333333E-03   3.426045E-06
1.354167E-03   8.973420E-07
1.375000E-03   3.982245E-06
1.395833E-03   2.421863E-06
1.416667E-03   3.069070E-06
1.437500E-03   5.106044E-06
1.458333E-03   6.167745E-06
1.479167E-03   8.424638E-06
1.500000E-03   4.669770E-06
1.520833E-03   7.048218E-06
