Frequency(Hz), Magnitude(ohm), Phase(deg)
20.000, 8.323, 10.076
20.291, 8.337, 10.191
20.585, 8.349, 10.307
20.884, 8.355, 10.424
21.188, 8.359, 10.541
21.495, 8.363, 10.659
21.808, 8.368, 10.780
22.124, 8.379, 10.916
22.446, 8.392, 11.075
22.772, 8.406, 11.242
23.103, 8.420, 11.410
23.438, 8.434, 11.570
23.779, 8.447, 11.721
24.124, 8.461, 11.865
24.474, 8.475, 12.009
24.830, 8.489, 12.164
25.191, 8.505, 12.339
25.557, 8.523, 12.533
25.928, 8.541, 12.732
26.304, 8.559, 12.923
26.686, 8.574, 13.086
27.074, 8.585, 13.230
27.467, 8.597, 13.375
27.866, 8.612, 13.542
28.271, 8.640, 13.741
28.682, 8.671, 13.958
29.098, 8.702, 14.171
29.521, 8.725, 14.362
29.950, 8.743, 14.532
30.385, 8.761, 14.701
30.826, 8.782, 14.888
31.274, 8.808, 15.102
31.728, 8.836, 15.333
32.189, 8.868, 15.552
32.657, 8.904, 15.709
33.131, 8.943, 15.863
33.612, 8.985, 16.019
34.101, 9.029, 16.178
34.596, 9.077, 16.341
35.099, 9.124, 16.507
35.608, 9.159, 16.698
36.126, 9.187, 16.917
36.650, 9.223, 17.164
37.183, 9.282, 17.485
37.723, 9.351, 17.851
38.271, 9.430, 18.069
38.827, 9.527, 18.084
39.391, 9.625, 18.058
39.963, 9.680, 18.005
40.543, 9.701, 17.916
41.132, 9.754, 17.869
41.730, 9.869, 17.970
42.336, 9.986, 18.078
42.951, 10.079, 17.960
43.575, 10.168, 17.682
44.208, 10.256, 17.229
44.850, 10.343, 16.664
45.501, 10.422, 16.071
46.162, 10.457, 15.452
46.833, 10.459, 14.827
47.513, 10.421, 14.249
48.203, 10.348, 13.733
48.903, 10.225, 13.341
49.614, 10.089, 13.125
50.334, 9.958, 13.156
51.066, 9.829, 13.442
51.807, 9.715, 14.050
52.560, 9.629, 14.818
53.323, 9.612, 15.257
54.098, 9.621, 15.578
54.884, 9.638, 16.766
55.681, 9.657, 18.078
56.490, 9.584, 18.171
57.310, 9.554, 18.426
58.143, 9.658, 19.237
58.987, 9.767, 19.835
59.844, 9.881, 20.243
60.713, 9.958, 20.840
61.595, 9.998, 21.474
