	ruido fondo tp2		
Frequency (Hz)	Level (dB)

11.885022	40.08
13.335214	38.44
14.962357	37.98
16.788040	39.83
18.836491	42.27
21.134890	43.56
23.713737	42.95
26.607251	41.44
29.853826	42.90
33.496544	44.14
37.583740	42.63
42.169650	38.60
47.315126	42.53
53.088444	40.99
59.566214	38.07
66.834392	39.72
74.989421	38.07
84.139514	34.32
94.406088	34.57
105.925373	34.40
118.850223	32.86
133.352143	38.98
149.623566	39.50
167.880402	37.87
188.364909	34.29
211.348904	31.03
237.137371	33.82
266.072506	38.85
298.538262	34.99
334.965439	23.26
375.837404	37.25
421.696503	28.23
473.151259	27.11
530.884444	40.45
595.662144	29.48
668.343918	34.52
749.894209	28.18
841.395142	22.68
944.060876	24.17
1059.253725	24.31
1188.502227	21.91
1333.521432	20.76
1496.235656	19.96
1678.804018	20.74
1883.649089	29.94
2113.489040	29.41
2371.373706	22.26
2660.725060	25.16
2985.382619	19.89
3349.654392	18.19
3758.374043	18.73
4216.965034	13.70
4731.512590	11.38
5308.844442	11.96
5956.621435	13.08
6683.439176	14.01
7498.942093	17.14
8413.951416	13.07
9440.608763	12.96
10592.537252	11.33
11885.022274	11.77
13335.214322	15.93
14962.356561	12.59
16788.040181	9.39
18836.490895	14.21
21134.890398	13.78
