Impulse reponse
Numpoints = 65536
SamplingRate = 48000 Hz
Time(s)       Amplitude(V)
0.000000E+00   -4.101481E+02
2.083333E-05   -4.188847E+02
4.166667E-05   -4.078700E+02
6.250000E-05   -3.793795E+02
8.333333E-05   -3.480521E+02
1.041667E-04   -2.814106E+02
1.250000E-04   -2.326674E+02
1.458333E-04   -2.041061E+02
1.666667E-04   -1.755523E+02
1.875000E-04   -1.687260E+02
2.083333E-04   -1.776971E+02
2.291667E-04   -1.688480E+02
2.500000E-04   -1.301156E+02
2.708333E-04   -9.395528E+01
2.916667E-04   -7.556715E+01
3.125000E-04   -6.694806E+01
3.333333E-04   -3.445183E+01
3.541667E-04   9.105953E+00
3.750000E-04   4.612821E+01
3.958333E-04   6.223088E+01
4.166667E-04   7.623695E+01
4.375000E-04   6.795605E+01
4.583333E-04   4.198666E+01
4.791667E-04   5.184291E+01
5.000000E-04   9.206714E+01
5.208333E-04   7.568398E+01
5.416667E-04   5.336870E+01
5.625000E-04   1.062928E+02
5.833333E-04   1.475557E+02
6.041667E-04   9.996843E+01
6.250000E-04   5.673099E+01
6.458333E-04   5.463000E+01
6.666667E-04   3.414883E+01
6.875000E-04   -1.556401E+01
7.083333E-04   -4.213661E+01
7.291667E-04   -4.620793E+01
7.500000E-04   -5.362000E+01
7.708333E-04   -3.264645E+01
7.916667E-04   4.101440E+00
8.125000E-04   6.037503E+01
8.333333E-04   1.237674E+02
8.541667E-04   1.510989E+02
8.750000E-04   1.846856E+02
8.958333E-04   2.337062E+02
9.166667E-04   2.530354E+02
9.375000E-04   2.513225E+02
9.583333E-04   2.653207E+02
9.791667E-04   2.612803E+02
1.000000E-03   2.334309E+02
1.020833E-03   2.047645E+02
1.041667E-03   1.996889E+02
1.062500E-03   1.939121E+02
1.083333E-03   1.715658E+02
1.104167E-03   1.377764E+02
1.125000E-03   1.099149E+02
1.145833E-03   1.176351E+02
1.166667E-03   1.192633E+02
1.187500E-03   1.175300E+02
1.208333E-03   1.418195E+02
1.229167E-03   1.720445E+02
1.250000E-03   1.902120E+02
1.270833E-03   1.847924E+02
1.291667E-03   2.097212E+02
1.312500E-03   2.595657E+02
1.333333E-03   2.808311E+02
1.354167E-03   2.888832E+02
1.375000E-03   3.282126E+02
1.395833E-03   3.727888E+02
1.416667E-03   3.759678E+02
1.437500E-03   3.809264E+02
1.458333E-03   3.988447E+02
1.479167E-03   3.946614E+02
1.500000E-03   3.614285E+02
1.520833E-03   3.497791E+02
1.541667E-03   3.245057E+02
1.562500E-03   2.805356E+02
1.583333E-03   2.641230E+02
1.604167E-03   3.053928E+02
1.625000E-03   3.562265E+02
1.645833E-03   3.881745E+02
1.666667E-03   4.124861E+02
1.687500E-03   4.428930E+02
1.708333E-03   4.727046E+02
1.729167E-03   4.745433E+02
1.750000E-03   4.348519E+02
1.770833E-03   3.750469E+02
1.791667E-03   3.546555E+02
1.812500E-03   3.471405E+02
1.833333E-03   3.095191E+02
1.854167E-03   2.797776E+02
1.875000E-03   3.135061E+02
1.895833E-03   3.733861E+02
1.916667E-03   4.304277E+02
1.937500E-03   4.782205E+02
1.958333E-03   5.044626E+02
1.979167E-03   5.464789E+02
2.000000E-03   5.820661E+02
2.020833E-03   6.180489E+02
2.041667E-03   6.423599E+02
2.062500E-03   6.490168E+02
2.083333E-03   6.230695E+02
2.104167E-03   5.937869E+02
2.125000E-03   5.950959E+02
2.145833E-03   5.986395E+02
2.166667E-03   5.905372E+02
2.187500E-03   5.692325E+02
2.208333E-03   5.616818E+02
2.229167E-03   5.675264E+02
2.250000E-03   5.767697E+02
2.270833E-03   5.776811E+02
2.291667E-03   5.644160E+02
2.312500E-03   5.187780E+02
2.333333E-03   4.937335E+02
2.354167E-03   4.784026E+02
2.375000E-03   4.312020E+02
2.395833E-03   3.759688E+02
2.416667E-03   3.674821E+02
2.437500E-03   3.802915E+02
2.458333E-03   3.584879E+02
2.479167E-03   3.347642E+02
2.500000E-03   3.339668E+02
2.520833E-03   3.569311E+02
2.541667E-03   3.594513E+02
2.562500E-03   3.396198E+02
2.583333E-03   3.142122E+02
2.604167E-03   3.191841E+02
2.625000E-03   3.483350E+02
2.645833E-03   3.691763E+02
2.666667E-03   4.243998E+02
2.687500E-03   4.826367E+02
2.708333E-03   5.256183E+02
2.729167E-03   5.629034E+02
2.750000E-03   6.189712E+02
2.770833E-03   6.505187E+02
2.791667E-03   6.941523E+02
2.812500E-03   7.512159E+02
2.833333E-03   7.623080E+02
2.854167E-03   7.360113E+02
2.875000E-03   7.544407E+02
2.895833E-03   7.913620E+02
2.916667E-03   7.628575E+02
2.937500E-03   7.217672E+02
2.958333E-03   6.994291E+02
2.979167E-03   6.857953E+02
3.000000E-03   6.312386E+02
3.020833E-03   5.484164E+02
3.041667E-03   5.000240E+02
3.062500E-03   4.531042E+02
3.083333E-03   4.074208E+02
3.104167E-03   3.765031E+02
3.125000E-03   3.464766E+02
3.145833E-03   3.237445E+02
3.166667E-03   3.033599E+02
3.187500E-03   2.855643E+02
3.208333E-03   2.529523E+02
3.229167E-03   2.644871E+02
3.250000E-03   3.172348E+02
3.270833E-03   3.215831E+02
3.291667E-03   2.952964E+02
3.312500E-03   2.651958E+02
3.333333E-03   2.726491E+02
3.354167E-03   2.736802E+02
3.375000E-03   2.614788E+02
3.395833E-03   2.786580E+02
3.416667E-03   3.098095E+02
3.437500E-03   3.661638E+02
3.458333E-03   4.043316E+02
3.479167E-03   4.227914E+02
3.500000E-03   4.230579E+02
3.520833E-03   4.237510E+02
3.541667E-03   4.140302E+02
3.562500E-03   4.096288E+02
3.583333E-03   4.045571E+02
