Impulse reponse
Numpoints = 65536
SamplingRate = 48000 Hz
Time(s)       Amplitude(V)
0.000000E+00   -4.717836E+01
2.083333E-05   -6.611002E+01
4.166667E-05   -8.439320E+01
6.250000E-05   -9.601547E+01
8.333333E-05   -9.861485E+01
1.041667E-04   -9.542142E+01
1.250000E-04   -9.348537E+01
1.458333E-04   -9.051166E+01
1.666667E-04   -8.669699E+01
1.875000E-04   -8.390500E+01
2.083333E-04   -7.930667E+01
2.291667E-04   -7.118439E+01
2.500000E-04   -6.720259E+01
2.708333E-04   -6.488115E+01
2.916667E-04   -6.129529E+01
3.125000E-04   -5.966785E+01
3.333333E-04   -6.079079E+01
3.541667E-04   -6.258177E+01
3.750000E-04   -6.855792E+01
3.958333E-04   -7.046948E+01
4.166667E-04   -6.112238E+01
4.375000E-04   -4.251131E+01
4.583333E-04   -1.460906E+01
4.791667E-04   1.728720E+01
5.000000E-04   4.143133E+01
5.208333E-04   6.387653E+01
5.416667E-04   9.071837E+01
5.625000E-04   1.120574E+02
5.833333E-04   1.270193E+02
6.041667E-04   1.413919E+02
6.250000E-04   1.555795E+02
6.458333E-04   1.648225E+02
6.666667E-04   1.668386E+02
6.875000E-04   1.611526E+02
7.083333E-04   1.553143E+02
7.291667E-04   1.516841E+02
7.500000E-04   1.489816E+02
7.708333E-04   1.488832E+02
7.916667E-04   1.581110E+02
8.125000E-04   1.678954E+02
8.333333E-04   1.743605E+02
8.541667E-04   1.739704E+02
8.750000E-04   1.660453E+02
8.958333E-04   1.523631E+02
9.166667E-04   1.368881E+02
9.375000E-04   1.158750E+02
9.583333E-04   9.088573E+01
9.791667E-04   6.624918E+01
1.000000E-03   3.843777E+01
1.020833E-03   9.498566E+00
1.041667E-03   -9.483246E+00
1.062500E-03   -2.171939E+01
1.083333E-03   -3.431943E+01
1.104167E-03   -3.766068E+01
1.125000E-03   -3.308142E+01
1.145833E-03   -3.131134E+01
1.166667E-03   -2.914915E+01
1.187500E-03   -1.998506E+01
1.208333E-03   -7.198074E+00
1.229167E-03   6.428558E+00
1.250000E-03   2.131018E+01
1.270833E-03   3.693303E+01
1.291667E-03   5.385425E+01
1.312500E-03   7.321397E+01
1.333333E-03   9.092044E+01
1.354167E-03   1.050253E+02
1.375000E-03   1.213104E+02
1.395833E-03   1.447003E+02
1.416667E-03   1.747927E+02
1.437500E-03   2.077536E+02
1.458333E-03   2.422232E+02
1.479167E-03   2.785976E+02
1.500000E-03   3.037640E+02
1.520833E-03   3.102532E+02
1.541667E-03   3.037211E+02
1.562500E-03   2.877829E+02
1.583333E-03   2.639900E+02
1.604167E-03   2.398171E+02
1.625000E-03   2.202839E+02
1.645833E-03   2.047041E+02
1.666667E-03   1.980558E+02
1.687500E-03   2.049403E+02
1.708333E-03   2.147731E+02
1.729167E-03   2.192808E+02
1.750000E-03   2.214397E+02
1.770833E-03   2.195681E+02
1.791667E-03   2.142119E+02
1.812500E-03   2.082432E+02
1.833333E-03   1.997332E+02
1.854167E-03   1.875645E+02
1.875000E-03   1.761143E+02
1.895833E-03   1.701959E+02
1.916667E-03   1.671070E+02
1.937500E-03   1.676257E+02
1.958333E-03   1.732847E+02
1.979167E-03   1.830119E+02
2.000000E-03   1.885034E+02
2.020833E-03   1.882284E+02
2.041667E-03   1.846078E+02
2.062500E-03   1.831046E+02
2.083333E-03   1.783816E+02
2.104167E-03   1.696700E+02
2.125000E-03   1.601367E+02
2.145833E-03   1.542730E+02
2.166667E-03   1.466375E+02
2.187500E-03   1.370291E+02
2.208333E-03   1.265076E+02
2.229167E-03   1.132116E+02
2.250000E-03   1.021480E+02
2.270833E-03   1.044155E+02
2.291667E-03   1.190652E+02
2.312500E-03   1.400043E+02
2.333333E-03   1.645712E+02
2.354167E-03   1.901380E+02
2.375000E-03   2.182161E+02
2.395833E-03   2.470306E+02
2.416667E-03   2.724633E+02
2.437500E-03   2.915458E+02
2.458333E-03   3.128997E+02
2.479167E-03   3.384899E+02
2.500000E-03   3.646473E+02
2.520833E-03   3.889651E+02
2.541667E-03   4.128081E+02
2.562500E-03   4.333682E+02
2.583333E-03   4.482336E+02
2.604167E-03   4.591493E+02
2.625000E-03   4.704726E+02
2.645833E-03   4.777374E+02
2.666667E-03   4.765866E+02
2.687500E-03   4.638604E+02
2.708333E-03   4.391669E+02
2.729167E-03   4.058052E+02
2.750000E-03   3.679102E+02
2.770833E-03   3.273564E+02
2.791667E-03   2.930499E+02
2.812500E-03   2.647718E+02
2.833333E-03   2.392198E+02
2.854167E-03   2.159071E+02
2.875000E-03   1.971638E+02
2.895833E-03   1.855446E+02
2.916667E-03   1.857459E+02
2.937500E-03   1.928561E+02
2.958333E-03   2.037914E+02
2.979167E-03   2.158728E+02
3.000000E-03   2.222812E+02
3.020833E-03   2.179496E+02
