Impulse reponse
Numpoints = 65536
SamplingRate = 48000 Hz
Time(s)       Amplitude(V)
0.000000E+00   -2.513749E-04
2.083333E-05   -2.518190E-04
4.166667E-05   -2.534854E-04
6.250000E-05   -2.549670E-04
8.333333E-05   -2.564519E-04
1.041667E-04   -2.593047E-04
1.250000E-04   -2.607675E-04
1.458333E-04   -2.619946E-04
1.666667E-04   -2.611638E-04
1.875000E-04   -2.631977E-04
2.083333E-04   -2.633011E-04
2.291667E-04   -2.631788E-04
2.500000E-04   -2.618730E-04
2.708333E-04   -2.631464E-04
2.916667E-04   -2.629872E-04
3.125000E-04   -2.622759E-04
3.333333E-04   -2.606998E-04
3.541667E-04   -2.599361E-04
3.750000E-04   -2.594114E-04
3.958333E-04   -2.590408E-04
4.166667E-04   -2.583671E-04
4.375000E-04   -2.573258E-04
4.583333E-04   -2.574774E-04
4.791667E-04   -2.563441E-04
5.000000E-04   -2.557900E-04
5.208333E-04   -2.539382E-04
5.416667E-04   -2.510615E-04
5.625000E-04   -2.503566E-04
5.833333E-04   -2.481011E-04
6.041667E-04   -2.481268E-04
6.250000E-04   -2.487458E-04
6.458333E-04   -2.463916E-04
6.666667E-04   -2.479042E-04
6.875000E-04   -2.486707E-04
7.083333E-04   -2.479737E-04
7.291667E-04   -2.491675E-04
7.500000E-04   -2.512149E-04
7.708333E-04   -2.511436E-04
7.916667E-04   -2.525003E-04
8.125000E-04   -2.540949E-04
8.333333E-04   -2.522837E-04
8.541667E-04   -2.534886E-04
8.750000E-04   -2.538802E-04
8.958333E-04   -2.539814E-04
9.166667E-04   -2.532376E-04
9.375000E-04   -2.531790E-04
9.583333E-04   -2.544415E-04
9.791667E-04   -2.537096E-04
1.000000E-03   -2.542986E-04
1.020833E-03   -2.548768E-04
1.041667E-03   -2.554597E-04
1.062500E-03   -2.547218E-04
1.083333E-03   -2.524748E-04
1.104167E-03   -2.536874E-04
1.125000E-03   -2.533724E-04
1.145833E-03   -2.521929E-04
1.166667E-03   -2.516291E-04
1.187500E-03   -2.487087E-04
1.208333E-03   -2.461035E-04
1.229167E-03   -2.449941E-04
1.250000E-03   -2.437842E-04
1.270833E-03   -2.417316E-04
1.291667E-03   -2.388989E-04
1.312500E-03   -2.364442E-04
1.333333E-03   -2.352812E-04
1.354167E-03   -2.344968E-04
1.375000E-03   -2.325605E-04
1.395833E-03   -2.323520E-04
1.416667E-03   -2.336384E-04
1.437500E-03   -2.321788E-04
1.458333E-03   -2.302721E-04
1.479167E-03   -2.313010E-04
1.500000E-03   -2.307738E-04
1.520833E-03   -2.301215E-04
1.541667E-03   -2.298582E-04
1.562500E-03   -2.288398E-04
1.583333E-03   -2.264749E-04
1.604167E-03   -2.274861E-04
1.625000E-03   -2.259261E-04
1.645833E-03   -2.244451E-04
1.666667E-03   -2.233414E-04
1.687500E-03   -2.221672E-04
1.708333E-03   -2.199609E-04
1.729167E-03   -2.190320E-04
1.750000E-03   -2.186305E-04
1.770833E-03   -2.168659E-04
1.791667E-03   -2.171342E-04
1.812500E-03   -2.169075E-04
1.833333E-03   -2.193814E-04
1.854167E-03   -2.202425E-04
1.875000E-03   -2.214442E-04
1.895833E-03   -2.224045E-04
1.916667E-03   -2.201978E-04
1.937500E-03   -2.201609E-04
1.958333E-03   -2.207338E-04
1.979167E-03   -2.204441E-04
2.000000E-03   -2.192933E-04
2.020833E-03   -2.175334E-04
2.041667E-03   -2.156927E-04
2.062500E-03   -2.148412E-04
2.083333E-03   -2.132382E-04
2.104167E-03   -2.106407E-04
2.125000E-03   -2.084062E-04
2.145833E-03   -2.060086E-04
2.166667E-03   -2.023945E-04
2.187500E-03   -1.978912E-04
2.208333E-03   -1.966735E-04
2.229167E-03   -1.943904E-04
2.250000E-03   -1.911938E-04
2.270833E-03   -1.904195E-04
2.291667E-03   -1.890216E-04
2.312500E-03   -1.875837E-04
2.333333E-03   -1.860130E-04
2.354167E-03   -1.847487E-04
2.375000E-03   -1.828994E-04
2.395833E-03   -1.820311E-04
2.416667E-03   -1.824070E-04
2.437500E-03   -1.829870E-04
2.458333E-03   -1.828406E-04
2.479167E-03   -1.806923E-04
2.500000E-03   -1.806287E-04
2.520833E-03   -1.802862E-04
2.541667E-03   -1.773572E-04
2.562500E-03   -1.773939E-04
2.583333E-03   -1.776637E-04
2.604167E-03   -1.764297E-04
2.625000E-03   -1.763757E-04
2.645833E-03   -1.748418E-04
2.666667E-03   -1.729660E-04
2.687500E-03   -1.718136E-04
2.708333E-03   -1.719119E-04
2.729167E-03   -1.693538E-04
2.750000E-03   -1.691393E-04
2.770833E-03   -1.674533E-04
2.791667E-03   -1.655931E-04
2.812500E-03   -1.657435E-04
2.833333E-03   -1.639332E-04
2.854167E-03   -1.590622E-04
2.875000E-03   -1.569238E-04
2.895833E-03   -1.530801E-04
2.916667E-03   -1.500407E-04
2.937500E-03   -1.494786E-04
2.958333E-03   -1.489416E-04
2.979167E-03   -1.473032E-04
3.000000E-03   -1.453146E-04
3.020833E-03   -1.446813E-04
3.041667E-03   -1.418632E-04
3.062500E-03   -1.410496E-04
3.083333E-03   -1.392269E-04
3.104167E-03   -1.362659E-04
3.125000E-03   -1.335325E-04
3.145833E-03   -1.308684E-04
3.166667E-03   -1.269336E-04
3.187500E-03   -1.228263E-04
3.208333E-03   -1.202317E-04
3.229167E-03   -1.172707E-04
3.250000E-03   -1.158568E-04
3.270833E-03   -1.131665E-04
3.291667E-03   -1.119927E-04
3.312500E-03   -1.103774E-04
3.333333E-03   -1.074654E-04
3.354167E-03   -1.069790E-04
3.375000E-03   -1.079485E-04
3.395833E-03   -1.073076E-04
3.416667E-03   -1.066752E-04
3.437500E-03   -1.064604E-04
3.458333E-03   -1.066258E-04
3.479167E-03   -1.059298E-04
3.500000E-03   -1.064087E-04
3.520833E-03   -1.059650E-04
3.541667E-03   -1.053537E-04
3.562500E-03   -1.053964E-04
3.583333E-03   -1.049705E-04
3.604167E-03   -1.041355E-04
3.625000E-03   -1.045152E-04
3.645833E-03   -1.036755E-04
3.666667E-03   -1.021345E-04
3.687500E-03   -1.026998E-04
3.708333E-03   -1.013764E-04
3.729167E-03   -9.895991E-05
3.750000E-03   -9.896926E-05
3.770833E-03   -9.724578E-05
3.791667E-03   -9.494335E-05
3.812500E-03   -9.230828E-05
3.833333E-03   -8.904300E-05
3.854167E-03   -8.469175E-05
3.875000E-03   -8.255770E-05
3.895833E-03   -7.844376E-05
3.916667E-03   -7.575219E-05
3.937500E-03   -7.118060E-05
3.958333E-03   -6.697281E-05
3.979167E-03   -6.504473E-05
4.000000E-03   -6.222626E-05
4.020833E-03   -6.047101E-05
4.041667E-03   -5.999727E-05
4.062500E-03   -5.644609E-05
4.083333E-03   -5.373314E-05
4.104167E-03   -5.080049E-05
4.125000E-03   -4.846426E-05
4.145833E-03   -4.641884E-05
4.166667E-03   -4.261133E-05
4.187500E-03   -4.150704E-05
4.208333E-03   -4.022897E-05
4.229167E-03   -3.904428E-05
4.250000E-03   -3.791335E-05
4.270833E-03   -3.836903E-05
4.291667E-03   -4.036171E-05
4.312500E-03   -4.046028E-05
4.333333E-03   -4.262307E-05
4.354167E-03   -4.421492E-05
4.375000E-03   -4.453134E-05
4.395833E-03   -4.321328E-05
4.416667E-03   -4.284262E-05
4.437500E-03   -4.189232E-05
4.458333E-03   -4.344424E-05
4.479167E-03   -4.135206E-05
4.500000E-03   -3.976734E-05
4.520833E-03   -3.893479E-05
4.541667E-03   -3.733646E-05
4.562500E-03   -3.452744E-05
4.583333E-03   -3.238364E-05
4.604167E-03   -2.906298E-05
4.625000E-03   -2.637261E-05
4.645833E-03   -2.391284E-05
4.666667E-03   -2.240312E-05
4.687500E-03   -1.946314E-05
4.708333E-03   -1.772991E-05
4.729167E-03   -1.452406E-05
4.750000E-03   -1.180195E-05
4.770833E-03   -9.107196E-06
4.791667E-03   -7.587055E-06
4.812500E-03   -3.403502E-06
4.833333E-03   -2.856329E-06
4.854167E-03   -7.267327E-07
4.875000E-03   1.924182E-06
4.895833E-03   1.172409E-06
4.916667E-03   3.246287E-07
4.937500E-03   2.677941E-06
4.958333E-03   1.374977E-06
4.979167E-03   2.629813E-07
5.000000E-03   2.938576E-06
5.020833E-03   3.523181E-06
5.041667E-03   5.780042E-06
5.062500E-03   1.040694E-05
5.083333E-03   1.379363E-05
5.104167E-03   1.689116E-05
5.125000E-03   2.272911E-05
5.145833E-03   2.281784E-05
