Frequency(Hz),   Magnitude(dB)
    3.104, -59.118034
    3.143, -59.118839
    3.182, -59.119987
    3.221, -59.121468
    3.261, -59.123302
    3.302, -59.125496
    3.343, -59.128101
    3.385, -59.131191
    3.427, -59.134888
    3.469, -59.139336
    3.513, -59.144691
    3.556, -59.151424
    3.601, -59.159328
    3.645, -59.168453
    3.691, -59.178825
    3.737, -59.190502
    3.783, -59.203510
    3.830, -59.217899
    3.878, -59.233719
    3.926, -59.251011
    3.975, -59.269821
    4.025, -59.290211
    4.075, -59.312206
    4.126, -59.335880
    4.177, -59.361282
    4.229, -59.388458
    4.282, -59.417461
    4.335, -59.448364
    4.389, -59.481201
    4.444, -59.516060
    4.499, -59.552967
    4.555, -59.592010
    4.612, -59.633247
    4.669, -59.676739
    4.727, -59.722553
    4.786, -59.770763
    4.845, -59.821434
    4.906, -59.874630
    4.967, -59.930443
    5.029, -59.988934
    5.091, -60.050182
    5.155, -60.114265
    5.219, -60.181286
    5.284, -60.251427
    5.350, -60.324913
    5.416, -60.402012
    5.484, -60.483047
    5.552, -60.568336
    5.621, -60.658203
    5.691, -60.752975
    5.762, -60.852978
    5.834, -60.958488
    5.906, -61.069805
    5.980, -61.187180
    6.054, -61.310898
    6.129, -61.441162
    6.206, -61.578236
    6.283, -61.722321
    6.361, -61.873619
    6.440, -62.032284
    6.521, -62.198414
    6.602, -62.372017
    6.684, -62.553001
    6.767, -62.741165
    6.851, -62.936142
    6.937, -63.137497
    7.023, -63.344749
    7.111, -63.557407
    7.199, -63.774883
    7.289, -63.996567
    7.379, -64.221741
    7.471, -64.449669
    7.564, -64.679527
    7.658, -64.910393
    7.754, -65.141266
    7.850, -65.371040
    7.948, -65.598694
    8.047, -65.823189
    8.147, -66.043564
    8.249, -66.258911
    8.351, -66.468414
    8.455, -66.671326
    8.560, -66.866982
    8.667, -67.054771
    8.775, -67.234169
    8.884, -67.404739
    8.995, -67.566162
    9.107, -67.718224
    9.220, -67.860825
    9.335, -67.993950
    9.451, -68.117744
    9.569, -68.232437
    9.688, -68.338303
    9.808, -68.435654
    9.931, -68.524712
   10.054, -68.605591
   10.179, -68.678291
   10.306, -68.742470
   10.434, -68.797897
   10.564, -68.843979
   10.696, -68.879822
   10.829, -68.904312
   10.964, -68.916145
   11.100, -68.913895
   11.238, -68.896172
   11.378, -68.861710
   11.520, -68.809517
   11.663, -68.738937
   11.809, -68.649773
   11.956, -68.542297
   12.104, -68.417351
   12.255, -68.276436
   12.408, -68.121605
   12.562, -67.955574
   12.718, -67.781624
   12.877, -67.603531
   13.037, -67.426079
   13.199, -67.254326
   13.364, -67.092987
   13.530, -66.946129
   13.698, -66.817314
   13.869, -66.709251
   14.042, -66.623749
   14.216, -66.561905
   14.393, -66.524338
   14.573, -66.511269
   14.754, -66.522629
   14.938, -66.558121
   15.124, -66.617218
   15.312, -66.699005
   15.503, -66.802063
   15.696, -66.922836
   15.891, -67.057968
   16.089, -67.203224
   16.289, -67.353348
   16.492, -67.502243
   16.697, -67.643097
   16.905, -67.768234
   17.115, -67.870094
   17.328, -67.942108
   17.544, -67.978783
   17.763, -67.976067
   17.984, -67.931625
   18.208, -67.845253
   18.434, -67.719025
   18.664, -67.555954
   18.896, -67.360039
   19.131, -67.135735
   19.369, -66.887482
   19.611, -66.619278
   19.855, -66.334335
   20.102, -66.034897
   20.352, -65.722946
   20.605, -65.398376
   20.862, -65.059822
   21.122, -64.705101
   21.385, -64.332146
   21.651, -63.939026
   21.920, -63.524269
   22.193, -63.087238
   22.470, -62.628277
   22.749, -62.148869
   23.032, -61.651672
   23.319, -61.140686
   23.609, -60.621475
   23.903, -60.097229
   24.201, -59.570492
   24.502, -59.042862
   24.807, -58.514957
   25.116, -57.986786
   25.429, -57.457939
   25.745, -56.927868
   26.066, -56.396091
   26.390, -55.862259
   26.719, -55.325993
