	75° (sin filtrar)		
Frequency (Hz)	Level (dB)

12.589254	49.66
15.848932	52.12
19.952623	53.66
25.118864	52.64
31.622777	52.14
39.810717	49.73
50.118723	46.67
63.095734	66.03
79.432823	68.39
100.000000	72.41
125.892541	74.64
158.489319	70.70
199.526231	67.28
251.188643	64.95
316.227766	63.95
398.107171	63.61
501.187234	61.48
630.957344	62.36
794.328235	61.89
1000.000000	57.82
1258.925412	60.03
1584.893192	58.42
1995.262315	55.91
2511.886432	50.59
3162.277660	46.76
3981.071706	41.52
5011.872336	46.30
6309.573445	45.07
7943.282347	39.44
10000.000000	31.98
12589.254118	29.70
15848.931925	24.81
19952.623150	16.05
